dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features,utility_norm,fairness_norm,tradeoff_score
COMPAS,ProxyRank_k8_lambda0.0,gradient_boosting,0.6833333333333333,0.6728301358654695,0.6166263115415658,0.7487574374322645,0.9090909090909092,0.0909090909090909,1.0,1.0,0.0382427171141581,0.9310158510474826,0.1970392021263266,8,0.0|0.5|1.0|2.0,0.257350206375122,8,c_charge_desc|priors_count|age|age_cat|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0
COMPAS,ProxyRank_k8_lambda0.0,logistic_regression,0.658,0.6551417867062852,0.6230712711241734,0.7060635258991308,0.8181818181818181,0.1818181818181818,1.0,1.0,0.0382427171141581,0.9310158510474826,0.1970392021263266,8,0.0|0.5|1.0|2.0,0.257350206375122,8,c_charge_desc|priors_count|age|age_cat|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0
COMPAS,ProxyRank_k8_lambda0.0,random_forest,0.6453333333333333,0.6397088904678854,0.5969696969696969,0.6980779306533458,0.8181818181818181,0.1818181818181818,0.6666666666666667,0.6666666666666667,0.0382427171141581,0.9310158510474826,0.1970392021263266,8,0.0|0.5|1.0|2.0,0.257350206375122,8,c_charge_desc|priors_count|age|age_cat|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count,0.3571428571428546,1.0,0.6785714285714273
