dataset,selector,mean_accuracy_original,mean_accuracy_removed,accuracy_change_after_proxy_removal,mean_joint_mi_original,mean_joint_mi_removed,joint_mi_drop_after_proxy_removal,mean_attacker_ba_original,mean_attacker_ba_removed,attacker_ba_drop_after_proxy_removal
german_credit,FairLasso_lambda0.0,0.7155555555555555,0.7366666666666667,0.02111111111111119,0.8403780664201559,0.6819587749690541,0.15841929145110178,0.5586596348077019,0.5711478182994179,-0.012488183491715987
german_credit,FairLasso_lambda0.5,0.7155555555555555,0.7366666666666667,0.02111111111111119,0.8403780664201559,0.6819587749690541,0.15841929145110178,0.5586596348077019,0.5711478182994179,-0.012488183491715987
german_credit,FairLasso_lambda1.0,0.7155555555555555,0.7366666666666667,0.02111111111111119,0.8403780664201559,0.6819587749690541,0.15841929145110178,0.5586596348077019,0.5711478182994179,-0.012488183491715987
german_credit,FairLasso_lambda2.0,0.721111111111111,0.7366666666666667,0.015555555555555656,0.8403780664201559,0.6819587749690541,0.15841929145110178,0.5586596348077019,0.5711478182994179,-0.012488183491715987
german_credit,FairmRMR_lambda0.0,0.7333333333333334,0.7400000000000001,0.00666666666666671,0.793711399753489,0.6893142450235441,0.10439715472994493,0.5762475745061943,0.5786108761629931,-0.0023633016567987664
german_credit,mRMR,0.7333333333333334,0.7400000000000001,0.00666666666666671,0.793711399753489,0.6893142450235441,0.10439715472994493,0.5762475745061943,0.5786108761629931,-0.0023633016567987664
german_credit,ProxyRank_lambda0.0,0.7422222222222222,0.751111111111111,0.008888888888888724,0.8882598263421588,0.8632272429944017,0.025032583347757154,0.5265933628538733,0.5638340215931141,-0.03724065873924087
german_credit,SubsetFACMIM_lambda2.0,0.6788888888888889,0.6788888888888889,0.0,0.3712219717302876,0.3712219717302876,0.0,0.5122642917558088,0.5122642917558088,0.0
german_credit,SubsetFACMIM_lambda1.0,0.7022222222222222,0.7022222222222222,0.0,0.41676326684857123,0.41676326684857123,0.0,0.5982635952037415,0.5982635952037415,0.0
german_credit,SubsetFACMIM_lambda0.5,0.7366666666666667,0.7366666666666667,0.0,0.5248543772896959,0.5248543772896959,0.0,0.5,0.5,0.0
german_credit,FairCFS_lambda1.0,0.7377777777777778,0.7377777777777778,0.0,0.7036462330579738,0.7036462330579738,0.0,0.49741280660729387,0.49741280660729387,0.0
german_credit,FairCFS_lambda0.5,0.7344444444444443,0.7344444444444443,0.0,0.7036462330579747,0.7036462330579747,0.0,0.49741280660729387,0.49741280660729387,0.0
german_credit,FairmRMR_lambda0.5,0.7388888888888889,0.7388888888888889,0.0,0.7036462330579747,0.7036462330579747,0.0,0.49741280660729387,0.49741280660729387,0.0
german_credit,FairmRMR_lambda2.0,0.7444444444444445,0.7444444444444445,0.0,0.7036462330579747,0.7036462330579747,0.0,0.49741280660729387,0.49741280660729387,0.0
german_credit,ProxyRank_lambda1.0,0.7422222222222222,0.7422222222222222,0.0,0.7036462330579747,0.7036462330579747,0.0,0.49741280660729387,0.49741280660729387,0.0
german_credit,ProxyRank_lambda2.0,0.741111111111111,0.741111111111111,0.0,0.7036462330579747,0.7036462330579747,0.0,0.49741280660729387,0.49741280660729387,0.0
german_credit,FairCFS_lambda2.0,0.741111111111111,0.741111111111111,0.0,0.7036462330579756,0.7036462330579756,0.0,0.49741280660729387,0.49741280660729387,0.0
german_credit,BasicFACMIM_lambda2.0,0.7399999999999999,0.7399999999999999,0.0,0.7036462330579765,0.7036462330579765,0.0,0.49741280660729387,0.49741280660729387,0.0
german_credit,FairmRMR_lambda1.0,0.7433333333333333,0.7433333333333333,0.0,0.7036462330579765,0.7036462330579765,0.0,0.49741280660729387,0.49741280660729387,0.0
german_credit,ProxyRank_lambda0.5,0.75,0.75,0.0,0.8498939096610663,0.8498939096610663,0.0,0.5071645355490323,0.5071645355490323,0.0
german_credit,BasicFACMIM_lambda1.0,0.75,0.75,0.0,0.8632272429943981,0.8632272429943981,0.0,0.49726354545002244,0.49726354545002244,0.0
german_credit,BasicFACMIM_lambda0.5,0.7622222222222222,0.7622222222222222,0.0,0.9015931596754889,0.9015931596754889,0.0,0.49726354545002244,0.49726354545002244,0.0
german_credit,FairCFS_lambda0.0,0.7266666666666666,0.7477777777777778,0.02111111111111119,0.837861774746278,0.8498939096610663,-0.012032134914788273,0.5363450917956117,0.5071645355490323,0.029180556246579448
german_credit,BasicFACMIM_lambda0.0,0.741111111111111,0.7622222222222222,0.02111111111111119,0.8882598263421588,0.9015931596754889,-0.013333333333330089,0.5265933628538733,0.49726354545002244,0.029329817403850822
german_credit,CMIM,0.741111111111111,0.7622222222222222,0.02111111111111119,0.8882598263421588,0.9015931596754889,-0.013333333333330089,0.5265933628538733,0.49726354545002244,0.029329817403850822
german_credit,SubsetFACMIM_lambda0.0,0.741111111111111,0.7622222222222222,0.02111111111111119,0.8882598263421588,0.9015931596754889,-0.013333333333330089,0.5265933628538733,0.49726354545002244,0.029329817403850822
