candidate,selected,selection_rank,candidate_subset_size,marginal_relevance,candidate_proxy_leakage,subset_merit,mean_feature_relevance,mean_feature_redundancy,mean_proxy_leakage,max_proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,1,0.09464683944776187,0.002735344062730516,0.09464683944776187,0.09464683944776187,0.0,0.002735344062730516,0.002735344062730516,0.0,0.09464683944776187,0.4467489719390869
occupation,False,,1,0.09051034018267161,0.05266450114491961,0.09051034018267161,0.09051034018267161,0.0,0.05266450114491961,0.05266450114491961,0.0,0.09051034018267161,0.4467489719390869
hours-per-week,False,,1,0.07607893757060051,0.017887781789631838,0.07607893757060051,0.07607893757060051,0.0,0.017887781789631838,0.017887781789631838,0.0,0.07607893757060051,0.4467489719390869
relationship,False,,1,0.07024497057410069,0.00014266589340278246,0.07024497057410069,0.07024497057410069,0.0,0.00014266589340278246,0.00014266589340278246,0.0,0.07024497057410069,0.4467489719390869
age,False,,1,0.06017394137366793,0.0008875465543859984,0.06017394137366793,0.06017394137366793,0.0,0.0008875465543859984,0.0008875465543859984,0.0,0.06017394137366793,0.4467489719390869
marital-status,False,,1,0.04100462100626891,0.004559479765719618,0.04100462100626891,0.04100462100626891,0.0,0.004559479765719618,0.004559479765719618,0.0,0.04100462100626891,0.4467489719390869
birthplace,False,,1,0.02471550477545613,0.0021020496733772376,0.02471550477545613,0.02471550477545613,0.0,0.0021020496733772376,0.0021020496733772376,0.0,0.02471550477545613,0.4467489719390869
class-worker,False,,1,0.0009288498838900539,5.118869521447689e-05,0.0009288498838900539,0.0009288498838900539,0.0,5.118869521447689e-05,5.118869521447689e-05,0.0,0.0009288498838900539,0.4467489719390869
occupation,True,2.0,2,0.09051034018267161,0.05266450114491961,0.1198399058886819,0.09257858981521674,0.19357083833452451,0.02769992260382506,0.05266450114491961,0.0,0.1198399058886819,1.0621471405029297
hours-per-week,False,,2,0.07607893757060051,0.017887781789631838,0.11961630893530219,0.0853628885091812,0.018561851197902955,0.010311562926181177,0.017887781789631838,0.0,0.11961630893530219,1.0621471405029297
relationship,False,,2,0.07024497057410069,0.00014266589340278246,0.11508669398806488,0.08244590501093127,0.02640307805884009,0.0014390049780666492,0.002735344062730516,0.0,0.11508669398806488,1.0621471405029297
age,False,,2,0.06017394137366793,0.0008875465543859984,0.10833100134349254,0.0774103904107149,0.021228664129903884,0.0018114453085582571,0.002735344062730516,0.0,0.10833100134349254,1.0621471405029297
marital-status,False,,2,0.04100462100626891,0.004559479765719618,0.09510751571231324,0.06782573022701538,0.017160008191550856,0.003647411914225067,0.004559479765719618,0.0,0.09510751571231324,1.0621471405029297
birthplace,False,,2,0.02471550477545613,0.0021020496733772376,0.08150709130832316,0.059681172111609,0.0722940432200117,0.0024186968680538767,0.002735344062730516,0.0,0.08150709130832316,1.0621471405029297
class-worker,False,,2,0.0009288498838900539,5.118869521447689e-05,0.06744567671724529,0.04778784466582596,0.004053025898097112,0.0013932663789724964,0.002735344062730516,0.0,0.06744567671724529,1.0621471405029297
hours-per-week,True,3.0,3,0.07607893757060051,0.017887781789631838,0.13987779746734927,0.087078705733678,0.08132315165362497,0.024429208999093985,0.05266450114491961,0.0,0.13987779746734927,2.219115734100342
relationship,False,,3,0.07024497057410069,0.00014266589340278246,0.1369253834425246,0.08513405006817805,0.07986903291172263,0.018514170367017635,0.05266450114491961,0.0,0.1369253834425246,2.219115734100342
age,False,,3,0.06017394137366793,0.0008875465543859984,0.13183447153811545,0.08177704033470047,0.07715979553461154,0.018762463920678707,0.05266450114491961,0.0,0.13183447153811545,2.219115734100342
marital-status,False,,3,0.04100462100626891,0.004559479765719618,0.12179028676644528,0.0753872668789008,0.07472746276729704,0.019986441657789913,0.05266450114491961,0.0,0.12179028676644528,2.219115734100342
birthplace,False,,3,0.02471550477545613,0.0021020496733772376,0.11037545804057264,0.06995756146862987,0.10258115685558222,0.019167298293675788,0.05266450114491961,0.0,0.11037545804057264,2.219115734100342
class-worker,False,,3,0.0009288498838900539,5.118869521447689e-05,0.10088424364638662,0.06202867650477451,0.06706077092926581,0.018483677967621532,0.05266450114491961,0.0,0.10088424364638662,2.219115734100342
relationship,True,4.0,4,0.07024497057410069,0.00014266589340278246,0.153849512890035,0.08287027194378367,0.05351792471908096,0.018357573222671186,0.05266450114491961,0.0,0.153849512890035,3.7310943603515625
age,False,,4,0.06017394137366793,0.0008875465543859984,0.149142700152747,0.08035251464367549,0.053686907489646975,0.01854379338791699,0.05266450114491961,0.0,0.149142700152747,3.7310943603515625
