candidate,selected,selection_rank,score_rank,proxy_rank,marginal_relevance,proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,1,4,0.09464683944776187,0.002735344062730516,0.0,0.09464683944776187,0.34783077239990234
occupation,True,2.0,2,1,0.09051034018267161,0.05266450114491961,0.0,0.09051034018267161,0.3478364944458008
hours-per-week,True,3.0,3,2,0.07607893757060051,0.017887781789631838,0.0,0.07607893757060051,0.3478384017944336
relationship,True,4.0,4,7,0.07024497057410069,0.00014266589340278246,0.0,0.07024497057410069,0.3478400707244873
age,True,5.0,5,6,0.06017394137366793,0.0008875465543859984,0.0,0.06017394137366793,0.3478415012359619
marital-status,False,,6,3,0.04100462100626891,0.004559479765719618,0.0,0.04100462100626891,0.3478431701660156
birthplace,False,,7,5,0.02471550477545613,0.0021020496733772376,0.0,0.02471550477545613,0.34784531593322754
class-worker,False,,8,8,0.0009288498838900539,5.118869521447689e-05,0.0,0.0009288498838900539,0.34784674644470215
