candidate,selected,selection_rank,score_rank,lasso_importance,marginal_relevance,proxy_leakage,fairness_penalty,nonzero_encoded_count,score,runtime_elapsed_seconds
hours-per-week,True,1.0,1,1.0,0.07607893757060051,0.017887781789631838,1.0,3,0.9821122182103682,0.4204537868499756
education,True,2.0,2,0.8596530240234368,0.09464683944776187,0.002735344062730516,1.0,4,0.8569176799607063,0.4204537868499756
occupation,True,3.0,3,0.7496945671214529,0.09051034018267161,0.05266450114491961,1.0,4,0.6970300659765333,0.4204537868499756
age,True,4.0,4,0.6956293510378728,0.06017394137366793,0.0008875465543859984,1.0,4,0.6947418044834868,0.4204537868499756
relationship,True,5.0,5,0.5119830003050374,0.07024497057410069,0.00014266589340278246,1.0,2,0.5118403344116347,0.4204537868499756
birthplace,False,,6,0.27616219899110317,0.02471550477545613,0.0021020496733772376,1.0,3,0.27406014931772593,0.4204537868499756
marital-status,False,,7,0.1769711780316991,0.04100462100626891,0.004559479765719618,1.0,4,0.17241169826597946,0.4204537868499756
class-worker,False,,8,0.006880488401397176,0.0009288498838900539,5.118869521447689e-05,1.0,2,0.006829299706182699,0.4204537868499756
