candidate,selected,selection_rank,score_rank,proxy_rank,marginal_relevance,proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,1,4,0.09464683944776187,0.002735344062730516,0.5,0.09327916741639661,0.2599525451660156
relationship,True,2.0,2,7,0.07024497057410069,0.00014266589340278246,0.5,0.0701736376273993,0.25995612144470215
hours-per-week,True,3.0,3,2,0.07607893757060051,0.017887781789631838,0.5,0.0671350466757846,0.25995731353759766
occupation,True,4.0,4,1,0.09051034018267161,0.05266450114491961,0.5,0.0641780896102118,0.25995922088623047
age,True,5.0,5,6,0.06017394137366793,0.0008875465543859984,0.5,0.05973016809647493,0.2599601745605469
marital-status,False,,6,3,0.04100462100626891,0.004559479765719618,0.5,0.0387248811234091,0.2599618434906006
birthplace,False,,7,5,0.02471550477545613,0.0021020496733772376,0.5,0.02366447993876751,0.259962797164917
class-worker,False,,8,8,0.0009288498838900539,5.118869521447689e-05,0.5,0.0009032555362828154,0.2599642276763916
