candidate,selected,selection_rank,marginal_relevance,cmim_score,utility_score,fairness_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,0.09464683944776187,0.09464683944776187,0.09464683944776187,0.002735344062730516,0.5,0.09327916741639661,0.25629115104675293
relationship,False,,0.07024497057410069,0.07024497057410069,0.07024497057410069,0.00014266589340278246,0.5,0.0701736376273993,0.25629115104675293
hours-per-week,False,,0.07607893757060051,0.07607893757060051,0.07607893757060051,0.017887781789631838,0.5,0.0671350466757846,0.25629115104675293
occupation,False,,0.09051034018267161,0.09051034018267161,0.09051034018267161,0.05266450114491961,0.5,0.0641780896102118,0.25629115104675293
age,False,,0.06017394137366793,0.06017394137366793,0.06017394137366793,0.0008875465543859984,0.5,0.05973016809647493,0.25629115104675293
marital-status,False,,0.04100462100626891,0.04100462100626891,0.04100462100626891,0.004559479765719618,0.5,0.0387248811234091,0.25629115104675293
birthplace,False,,0.02471550477545613,0.02471550477545613,0.02471550477545613,0.0021020496733772376,0.5,0.02366447993876751,0.25629115104675293
class-worker,False,,0.0009288498838900539,0.0009288498838900539,0.0009288498838900539,5.118869521447689e-05,0.5,0.0009032555362828154,0.25629115104675293
hours-per-week,True,2.0,0.07607893757060051,0.06523556419658391,0.06523556419658391,0.017887781789631838,0.5,0.05629167330176799,0.41774725914001465
age,False,,0.06017394137366793,0.054414221704643426,0.054414221704643426,0.0008875465543859984,0.5,0.053970448427450426,0.41774725914001465
relationship,False,,0.07024497057410069,0.0517958326231982,0.0517958326231982,0.00014266589340278246,0.5,0.05172449967649681,0.41774725914001465
marital-status,False,,0.04100462100626891,0.03911623404943576,0.03911623404943576,0.004559479765719618,0.5,0.03683649416657595,0.41774725914001465
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.5,0.009309623887126403,0.41774725914001465
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.5,0.005930907133249319,0.41774725914001465
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,5.118869521447689e-05,0.5,0.0016805483046963847,0.41774725914001465
relationship,True,3.0,0.07024497057410069,0.0517958326231982,0.0517958326231982,0.00014266589340278246,0.5,0.05172449967649681,0.6606135368347168
age,False,,0.06017394137366793,0.04936679300161239,0.04936679300161239,0.0008875465543859984,0.5,0.04892301972441939,0.6606135368347168
marital-status,False,,0.04100462100626891,0.03545823621673,0.03545823621673,0.004559479765719618,0.5,0.03317849633387019,0.6606135368347168
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.5,0.009309623887126403,0.6606135368347168
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.5,0.005930907133249319,0.6606135368347168
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,5.118869521447689e-05,0.5,0.0016805483046963847,0.6606135368347168
age,True,4.0,0.06017394137366793,0.018637579896524155,0.018637579896524155,0.0008875465543859984,0.5,0.018193806619331156,0.960484504699707
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.5,0.009309623887126403,0.960484504699707
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.5,0.005930907133249319,0.960484504699707
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,0.004559479765719618,0.5,0.005561046525253523,0.960484504699707
class-worker,False,,0.0009288498838900539,0.00019507274629100728,0.00019507274629100728,5.118869521447689e-05,0.5,0.00016947839868376884,0.960484504699707
occupation,True,5.0,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.5,0.009309623887126403,1.2858433723449707
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.5,0.005930907133249319,1.2858433723449707
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,0.004559479765719618,0.5,0.005561046525253523,1.2858433723449707
class-worker,False,,0.0009288498838900539,0.00019507274629100728,0.00019507274629100728,5.118869521447689e-05,0.5,0.00016947839868376884,1.2858433723449707
