candidate,selected,selection_rank,score_rank,proxy_rank,marginal_relevance,proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,1,4,0.09464683944776187,0.002735344062730516,2.0,0.08917615132230083,0.26146936416625977
relationship,True,2.0,2,7,0.07024497057410069,0.00014266589340278246,2.0,0.06995963878729512,0.2614724636077881
age,True,3.0,3,6,0.06017394137366793,0.0008875465543859984,2.0,0.058398848264895935,0.261474609375
hours-per-week,True,4.0,4,2,0.07607893757060051,0.017887781789631838,2.0,0.040303373991336836,0.2614760398864746
marital-status,True,5.0,5,3,0.04100462100626891,0.004559479765719618,2.0,0.03188566147482967,0.2614774703979492
birthplace,False,,6,5,0.02471550477545613,0.0021020496733772376,2.0,0.020511405428701654,0.26147890090942383
class-worker,False,,7,8,0.0009288498838900539,5.118869521447689e-05,2.0,0.0008264724934611001,0.26147985458374023
occupation,False,,8,1,0.09051034018267161,0.05266450114491961,2.0,-0.014818662107167604,0.26148128509521484
