candidate,selected,selection_rank,score_rank,lasso_importance,marginal_relevance,proxy_leakage,fairness_penalty,nonzero_encoded_count,score,runtime_elapsed_seconds
hours-per-week,True,1.0,1,1.0,0.07607893757060051,0.017887781789631838,0.5,3,0.991056109105184,0.7038004398345947
education,True,2.0,2,0.8596530240234368,0.09464683944776187,0.002735344062730516,0.5,4,0.8582853519920716,0.7038004398345947
occupation,True,3.0,3,0.7496945671214529,0.09051034018267161,0.05266450114491961,0.5,4,0.7233623165489931,0.7038004398345947
age,True,4.0,4,0.6956293510378728,0.06017394137366793,0.0008875465543859984,0.5,4,0.6951855777606798,0.7038004398345947
relationship,True,5.0,5,0.5119830003050374,0.07024497057410069,0.00014266589340278246,0.5,2,0.511911667358336,0.7038004398345947
birthplace,False,,6,0.27616219899110317,0.02471550477545613,0.0021020496733772376,0.5,3,0.27511117415441455,0.7038004398345947
marital-status,False,,7,0.1769711780316991,0.04100462100626891,0.004559479765719618,0.5,4,0.17469143814883928,0.7038004398345947
class-worker,False,,8,0.006880488401397176,0.0009288498838900539,5.118869521447689e-05,0.5,2,0.006854894053789937,0.7038004398345947
