candidate,selected,selection_rank,marginal_relevance,cmim_score,utility_score,candidate_individual_leakage,subset_leakage,current_subset_leakage,incremental_subset_leakage,fairness_penalty,max_subset_leakage,constraint_feasible,score,ranking_score,runtime_elapsed_seconds
education,True,1.0,0.09464683944776187,0.09464683944776187,0.09464683944776187,0.002735344062730516,0.002735344062730516,0.0,0.002735344062730516,0.0,,True,0.09464683944776187,0.09464683944776187,0.5305302143096924
occupation,False,,0.09051034018267161,0.09051034018267161,0.09051034018267161,0.05266450114491961,0.05266450114491961,0.0,0.05266450114491961,0.0,,True,0.09051034018267161,0.09051034018267161,0.5305302143096924
hours-per-week,False,,0.07607893757060051,0.07607893757060051,0.07607893757060051,0.017887781789631838,0.017887781789631838,0.0,0.017887781789631838,0.0,,True,0.07607893757060051,0.07607893757060051,0.5305302143096924
relationship,False,,0.07024497057410069,0.07024497057410069,0.07024497057410069,0.00014266589340278246,0.00014266589340278246,0.0,0.00014266589340278246,0.0,,True,0.07024497057410069,0.07024497057410069,0.5305302143096924
age,False,,0.06017394137366793,0.06017394137366793,0.06017394137366793,0.0008875465543859984,0.0008875465543859984,0.0,0.0008875465543859984,0.0,,True,0.06017394137366793,0.06017394137366793,0.5305302143096924
marital-status,False,,0.04100462100626891,0.04100462100626891,0.04100462100626891,0.004559479765719618,0.004559479765719618,0.0,0.004559479765719618,0.0,,True,0.04100462100626891,0.04100462100626891,0.5305302143096924
birthplace,False,,0.02471550477545613,0.02471550477545613,0.02471550477545613,0.0021020496733772376,0.0021020496733772376,0.0,0.0021020496733772376,0.0,,True,0.02471550477545613,0.02471550477545613,0.5305302143096924
class-worker,False,,0.0009288498838900539,0.0009288498838900539,0.0009288498838900539,5.118869521447689e-05,5.118869521447689e-05,0.0,5.118869521447689e-05,0.0,,True,0.0009288498838900539,0.0009288498838900539,0.5305302143096924
hours-per-week,True,2.0,0.07607893757060051,0.06523556419658391,0.06523556419658391,0.017887781789631838,0.02383880061905064,0.002735344062730516,0.021103456556320125,0.0,,True,0.06523556419658391,0.06523556419658391,0.9765498638153076
age,False,,0.06017394137366793,0.054414221704643426,0.054414221704643426,0.0008875465543859984,0.0074304442014155765,0.002735344062730516,0.004695100138685061,0.0,,True,0.054414221704643426,0.054414221704643426,0.9765498638153076
relationship,False,,0.07024497057410069,0.0517958326231982,0.0517958326231982,0.00014266589340278246,0.004831060236462672,0.002735344062730516,0.0020957161737321563,0.0,,True,0.0517958326231982,0.0517958326231982,0.9765498638153076
marital-status,False,,0.04100462100626891,0.03911623404943576,0.03911623404943576,0.004559479765719618,0.010844180796563315,0.002735344062730516,0.0081088367338328,0.0,,True,0.03911623404943576,0.03911623404943576,0.9765498638153076
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.055228402298721044,0.002735344062730516,0.05249305823599053,0.0,,True,0.035641874459586206,0.035641874459586206,0.9765498638153076
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.008252378753450345,0.002735344062730516,0.005517034690719829,0.0,,True,0.0069819319699379375,0.0069819319699379375,0.9765498638153076
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,5.118869521447689e-05,0.0028459341027457508,0.002735344062730516,0.00011059004001523487,0.0,,True,0.0017061426523036231,0.0017061426523036231,0.9765498638153076
relationship,True,3.0,0.07024497057410069,0.0517958326231982,0.0517958326231982,0.00014266589340278246,0.034601318235700104,0.02383880061905064,0.010762517616649463,0.0,,True,0.0517958326231982,0.0517958326231982,1.4933786392211914
age,False,,0.06017394137366793,0.04936679300161239,0.04936679300161239,0.0008875465543859984,0.0415515235639146,0.02383880061905064,0.01771272294486396,0.0,,True,0.04936679300161239,0.04936679300161239,1.4933786392211914
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.07860379961887773,0.02383880061905064,0.05476499899982709,0.0,,True,0.035641874459586206,0.035641874459586206,1.4933786392211914
marital-status,False,,0.04100462100626891,0.03545823621673,0.03545823621673,0.004559479765719618,0.04371338448406541,0.02383880061905064,0.019874583865014766,0.0,,True,0.03545823621673,0.03545823621673,1.4933786392211914
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.037097601296042504,0.02383880061905064,0.013258800676991863,0.0,,True,0.0069819319699379375,0.0069819319699379375,1.4933786392211914
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,5.118869521447689e-05,0.024873774438700227,0.02383880061905064,0.0010349738196495858,0.0,,True,0.0017061426523036231,0.0017061426523036231,1.4933786392211914
occupation,True,4.0,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.11377958317729037,0.034601318235700104,0.07917826494159026,0.0,,True,0.035641874459586206,0.035641874459586206,2.160768508911133
age,False,,0.06017394137366793,0.018637579896524155,0.018637579896524155,0.0008875465543859984,0.07018873623403835,0.034601318235700104,0.03558741799833824,0.0,,True,0.018637579896524155,0.018637579896524155,2.160768508911133
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,0.004559479765719618,0.06560842396985037,0.034601318235700104,0.03100710573415026,0.0,,True,0.007840786408113332,0.007840786408113332,2.160768508911133
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.060601383905498886,0.034601318235700104,0.02600006566979878,0.0,,True,0.0069819319699379375,0.0069819319699379375,2.160768508911133
class-worker,False,,0.0009288498838900539,0.00019507274629100728,0.00019507274629100728,5.118869521447689e-05,0.042187704398039635,0.034601318235700104,0.007586386162339531,0.0,,True,0.00019507274629100728,0.00019507274629100728,2.160768508911133
age,True,5.0,0.06017394137366793,0.018637579896524155,0.018637579896524155,0.0008875465543859984,0.20646020734564846,0.11377958317729037,0.0926806241683581,0.0,,True,0.018637579896524155,0.018637579896524155,3.0238494873046875
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,0.004559479765719618,0.1801873862629041,0.11377958317729037,0.06640780308561373,0.0,,True,0.007840786408113332,0.007840786408113332,3.0238494873046875
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.18857402861769454,0.11377958317729037,0.07479444544040417,0.0,,True,0.0069819319699379375,0.0069819319699379375,3.0238494873046875
class-worker,False,,0.0009288498838900539,0.00019507274629100728,0.00019507274629100728,5.118869521447689e-05,0.1368137394649393,0.11377958317729037,0.023034156287648933,0.0,,True,0.00019507274629100728,0.00019507274629100728,3.0238494873046875
