candidate,selected,selection_rank,marginal_relevance,redundancy,redundancy_weight,proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,0.09464683944776187,0.0,1.0,0.002735344062730516,2.0,0.08917615132230083,0.26044321060180664
relationship,False,,0.07024497057410069,0.0,1.0,0.00014266589340278246,2.0,0.06995963878729512,0.26044321060180664
age,False,,0.06017394137366793,0.0,1.0,0.0008875465543859984,2.0,0.058398848264895935,0.26044321060180664
hours-per-week,False,,0.07607893757060051,0.0,1.0,0.017887781789631838,2.0,0.040303373991336836,0.26044321060180664
marital-status,False,,0.04100462100626891,0.0,1.0,0.004559479765719618,2.0,0.03188566147482967,0.26044321060180664
birthplace,False,,0.02471550477545613,0.0,1.0,0.0021020496733772376,2.0,0.020511405428701654,0.26044321060180664
class-worker,False,,0.0009288498838900539,0.0,1.0,5.118869521447689e-05,2.0,0.0008264724934611001,0.26044321060180664
occupation,False,,0.09051034018267161,0.0,1.0,0.05266450114491961,2.0,-0.014818662107167604,0.26044321060180664
relationship,True,2.0,0.07024497057410069,0.02640307805884009,1.0,0.00014266589340278246,2.0,0.043556560728455034,0.34299755096435547
age,False,,0.06017394137366793,0.021228664129903884,1.0,0.0008875465543859984,2.0,0.037170184134992054,0.34299755096435547
hours-per-week,False,,0.07607893757060051,0.018561851197902955,1.0,0.017887781789631838,2.0,0.02174152279343388,0.34299755096435547
marital-status,False,,0.04100462100626891,0.017160008191550856,1.0,0.004559479765719618,2.0,0.014725653283278815,0.34299755096435547
class-worker,False,,0.0009288498838900539,0.004053025898097112,1.0,5.118869521447689e-05,2.0,-0.0032265534046360123,0.34299755096435547
birthplace,False,,0.02471550477545613,0.0722940432200117,1.0,0.0021020496733772376,2.0,-0.05178263779131005,0.34299755096435547
occupation,False,,0.09051034018267161,0.19357083833452451,1.0,0.05266450114491961,2.0,-0.20838950044169213,0.34299755096435547
hours-per-week,True,3.0,0.07607893757060051,0.024831842075435217,1.0,0.017887781789631838,2.0,0.015471531915901615,0.48951053619384766
class-worker,False,,0.0009288498838900539,0.006316559377884588,1.0,5.118869521447689e-05,2.0,-0.0054900868844234875,0.48951053619384766
age,False,,0.06017394137366793,0.08718615986441638,1.0,0.0008875465543859984,2.0,-0.02878731159952045,0.48951053619384766
birthplace,False,,0.02471550477545613,0.05276188657974547,1.0,0.0021020496733772376,2.0,-0.032250481151043814,0.48951053619384766
marital-status,False,,0.04100462100626891,0.10186812834108845,1.0,0.004559479765719618,2.0,-0.06998246686625878,0.48951053619384766
occupation,False,,0.09051034018267161,0.10660201033816391,1.0,0.05266450114491961,2.0,-0.12142067244533152,0.48951053619384766
class-worker,True,4.0,0.0009288498838900539,0.007715761006310898,1.0,5.118869521447689e-05,2.0,-0.006889288512849798,0.670396089553833
age,False,,0.06017394137366793,0.07153858714550988,1.0,0.0008875465543859984,2.0,-0.013139738880613948,0.670396089553833
birthplace,False,,0.02471550477545613,0.03750703634646549,1.0,0.0021020496733772376,2.0,-0.016995630917763835,0.670396089553833
marital-status,False,,0.04100462100626891,0.07480243848227157,1.0,0.004559479765719618,2.0,-0.0429167770074419,0.670396089553833
occupation,False,,0.09051034018267161,0.08168026203492508,1.0,0.05266450114491961,2.0,-0.09649892414209268,0.670396089553833
age,True,5.0,0.06017394137366793,0.0576928874085175,1.0,0.0008875465543859984,2.0,0.000705960856378432,0.8756327629089355
birthplace,False,,0.02471550477545613,0.02909558215943999,1.0,0.0021020496733772376,2.0,-0.008584176730738337,0.8756327629089355
marital-status,False,,0.04100462100626891,0.05764615840871666,1.0,0.004559479765719618,2.0,-0.02576049693388699,0.8756327629089355
occupation,False,,0.09051034018267161,0.06214980866498777,1.0,0.05266450114491961,2.0,-0.07696847077215538,0.8756327629089355
