dataset,variant,removed_features,selector,lambda,model,k,selected_features,accuracy,balanced_accuracy,f1,auroc,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,dpd,dpr,equal_opportunity_difference,equalized_odds_difference
adult,original,[],BasicFACMIM_lambda0.0,0.0,logistic_regression,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.838,0.7411553777064642,0.6209048361934477,0.8866587091156357,0.898943700437556,0.8392102930961525,0.16979377080854935,0.3083502723798683,0.2092412706747177,0.2092412706747177
adult,original,[],BasicFACMIM_lambda0.0,0.0,random_forest,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.8333333333333334,0.748637595515072,0.6268656716417911,0.8702890645637861,0.898943700437556,0.8392102930961525,0.16591749235522837,0.3703967400360535,0.05880808611184041,0.09278608176314979
adult,original,[],BasicFACMIM_lambda0.0,0.0,gradient_boosting,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.8473333333333334,0.7453673355575341,0.6324237560192616,0.89975687072567,0.898943700437556,0.8392102930961525,0.16073980630583878,0.3025290143772735,0.2212129167760567,0.2212129167760567
adult,original,[],SubsetFACMIM_lambda0.0,0.0,logistic_regression,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.838,0.7411553777064642,0.6209048361934477,0.8866587091156357,0.898943700437556,0.8392102930961525,0.16979377080854935,0.3083502723798683,0.2092412706747177,0.2092412706747177
adult,original,[],SubsetFACMIM_lambda0.0,0.0,random_forest,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.8333333333333334,0.748637595515072,0.6268656716417911,0.8702890645637861,0.898943700437556,0.8392102930961525,0.16591749235522837,0.3703967400360535,0.05880808611184041,0.09278608176314979
adult,original,[],SubsetFACMIM_lambda0.0,0.0,gradient_boosting,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.8473333333333334,0.7453673355575341,0.6324237560192616,0.89975687072567,0.898943700437556,0.8392102930961525,0.16073980630583878,0.3025290143772735,0.2212129167760567,0.2212129167760567
adult,original,[],ProxyRank_lambda0.5,0.5,logistic_regression,8,"['age', 'marital-status', 'education', 'education-num', 'occupation', 'hours-per-week', 'capital-gain', 'workclass']",0.84,0.7443865021671281,0.6261682242990654,0.8889566965727089,0.8824576631354262,0.748554878681666,0.17378981069709137,0.29780473248705586,0.2160672092412707,0.2160672092412707
adult,original,[],ProxyRank_lambda0.5,0.5,random_forest,8,"['age', 'marital-status', 'education', 'education-num', 'occupation', 'hours-per-week', 'capital-gain', 'workclass']",0.8273333333333334,0.7475735991938087,0.621897810218978,0.872838986781986,0.8824576631354262,0.748554878681666,0.17495948071441686,0.3673566603152607,0.2006300866369125,0.2006300866369125
adult,original,[],ProxyRank_lambda0.5,0.5,gradient_boosting,8,"['age', 'marital-status', 'education', 'education-num', 'occupation', 'hours-per-week', 'capital-gain', 'workclass']",0.8446666666666667,0.7512865794597345,0.6376360808709176,0.9013516422232877,0.8824576631354262,0.748554878681666,0.16580970706352943,0.32457923408407185,0.2109215017064846,0.2109215017064846
adult,original,[],FairmRMR_lambda0.5,0.5,logistic_regression,8,"['age', 'education-num', 'fnlwgt', 'race', 'marital-status', 'workclass', 'capital-gain', 'native-country']",0.8246666666666667,0.7199341545265094,0.5858267716535434,0.8806073829114852,0.792670905256804,0.6425001397216744,0.17875192616308314,0.268875318398537,0.18367025466001574,0.18367025466001574
adult,original,[],FairmRMR_lambda0.5,0.5,random_forest,8,"['age', 'education-num', 'fnlwgt', 'race', 'marital-status', 'workclass', 'capital-gain', 'native-country']",0.8386666666666667,0.7521402224852998,0.6344410876132931,0.8766131162617774,0.792670905256804,0.6425001397216744,0.17287163969373007,0.3364388599448361,0.15279600945129956,0.15279600945129956
adult,original,[],FairmRMR_lambda0.5,0.5,gradient_boosting,8,"['age', 'education-num', 'fnlwgt', 'race', 'marital-status', 'workclass', 'capital-gain', 'native-country']",0.8333333333333334,0.7361729397606864,0.6118012422360248,0.8935930299680067,0.792670905256804,0.6425001397216744,0.17579381871312344,0.29541272660362566,0.2024153321081648,0.2024153321081648
adult,original,[],FairCFS_lambda0.5,0.5,logistic_regression,8,"['age', 'education', 'marital-status', 'hours-per-week', 'workclass', 'education-num', 'native-country', 'capital-gain']",0.8306666666666667,0.7257922492148441,0.5968253968253968,0.8875857311978396,0.7552194035599129,0.6698456674304785,0.18871208552563293,0.22813663379269805,0.2280913625623523,0.2280913625623523
adult,original,[],FairCFS_lambda0.5,0.5,random_forest,8,"['age', 'education', 'marital-status', 'hours-per-week', 'workclass', 'education-num', 'native-country', 'capital-gain']",0.8213333333333334,0.7407566848320598,0.6104651162790697,0.8614028608048215,0.7552194035599129,0.6698456674304785,0.16898338509688698,0.3889658756279231,0.1152008401155159,0.1152008401155159
adult,original,[],FairCFS_lambda0.5,0.5,gradient_boosting,8,"['age', 'education', 'marital-status', 'hours-per-week', 'workclass', 'education-num', 'native-country', 'capital-gain']",0.8366666666666667,0.7364444422702501,0.6141732283464567,0.8973806122748484,0.7552194035599129,0.6698456674304785,0.18174596204360913,0.2596633872672575,0.25198214754528747,0.25198214754528747
adult,original,[],FairLasso_lambda0.5,0.5,logistic_regression,8,"['education', 'relationship', 'marital-status', 'occupation', 'workclass', 'native-country', 'race', 'age']",0.814,0.7014230645050827,0.5550239234449761,0.8547852928802747,0.8356685891770592,0.8222780221798178,0.17073589409895487,0.2779897359713688,0.2367025466001575,0.2367025466001575
adult,original,[],FairLasso_lambda0.5,0.5,random_forest,8,"['education', 'relationship', 'marital-status', 'occupation', 'workclass', 'native-country', 'race', 'age']",0.806,0.7182219765382696,0.5751824817518248,0.8299746108464029,0.8356685891770592,0.8222780221798178,0.18992966011704684,0.3254455487657909,0.18361774744027304,0.18361774744027304
adult,original,[],FairLasso_lambda0.5,0.5,gradient_boosting,8,"['education', 'relationship', 'marital-status', 'occupation', 'workclass', 'native-country', 'race', 'age']",0.826,0.7102627948615092,0.5728314238952537,0.8681268283614946,0.8356685891770592,0.8222780221798178,0.15470382997069837,0.298207171314741,0.16492517721186656,0.16492517721186656
adult,original,[],BasicFACMIM_lambda0.5,0.5,logistic_regression,8,"['age', 'education', 'marital-status', 'native-country', 'capital-gain', 'occupation', 'workclass', 'hours-per-week']",0.8373333333333334,0.7397587296617715,0.61875,0.8867712236691485,0.892034015119826,0.7485668548251883,0.1717858026810593,0.3002357915277665,0.2246258860593331,0.2246258860593331
adult,original,[],BasicFACMIM_lambda0.5,0.5,random_forest,8,"['age', 'education', 'marital-status', 'native-country', 'capital-gain', 'occupation', 'workclass', 'hours-per-week']",0.824,0.736755080276688,0.6071428571428571,0.8684399123364871,0.892034015119826,0.7485668548251883,0.17091553625178643,0.3587454692508163,0.16991336308742455,0.16991336308742455
adult,original,[],BasicFACMIM_lambda0.5,0.5,gradient_boosting,8,"['age', 'education', 'marital-status', 'native-country', 'capital-gain', 'occupation', 'workclass', 'hours-per-week']",0.848,0.7486816229490554,0.6369426751592356,0.9006631020751596,0.892034015119826,0.7485668548251883,0.150779646943289,0.3457474450025983,0.17505907062221054,0.17505907062221054
adult,original,[],SubsetFACMIM_lambda0.5,0.5,logistic_regression,8,"['age', 'education', 'marital-status', 'native-country', 'education-num', 'race', 'workclass', 'occupation']",0.8153333333333334,0.7042163605944682,0.5596184419713831,0.8557453355379664,0.7857500671430095,0.7415707909843592,0.17872797387603892,0.2567895086321381,0.24352848516671038,0.24352848516671038
adult,original,[],SubsetFACMIM_lambda0.5,0.5,random_forest,8,"['age', 'education', 'marital-status', 'native-country', 'education-num', 'race', 'workclass', 'occupation']",0.8013333333333333,0.7074866205520062,0.5591715976331361,0.8298938938841003,0.7857500671430095,0.7415707909843592,0.18390565992542854,0.3277001882579572,0.2503019165135206,0.2503019165135206
adult,original,[],SubsetFACMIM_lambda0.5,0.5,gradient_boosting,8,"['age', 'education', 'marital-status', 'native-country', 'education-num', 'race', 'workclass', 'occupation']",0.8206666666666667,0.7211424629924958,0.5855161787365177,0.8707061022023501,0.7857500671430095,0.7415707909843592,0.1837978746337296,0.28066557300210926,0.2161197164610134,0.2161197164610134
adult,original,[],ProxyRank_lambda1.0,1.0,logistic_regression,8,"['age', 'education', 'education-num', 'capital-gain', 'workclass', 'native-country', 'marital-status', 'hours-per-week']",0.8306666666666667,0.7257922492148441,0.5968253968253968,0.8875857311978396,0.7552194035599147,0.6698456674304785,0.18871208552563293,0.22813663379269805,0.2280913625623523,0.2280913625623523
adult,original,[],ProxyRank_lambda1.0,1.0,random_forest,8,"['age', 'education', 'education-num', 'capital-gain', 'workclass', 'native-country', 'marital-status', 'hours-per-week']",0.82,0.7379633887426744,0.6064139941690962,0.8634745961705916,0.7552194035599147,0.6698456674304785,0.1699734129613809,0.3831510322346976,0.12717248621685479,0.12717248621685479
adult,original,[],ProxyRank_lambda1.0,1.0,gradient_boosting,8,"['age', 'education', 'education-num', 'capital-gain', 'workclass', 'native-country', 'marital-status', 'hours-per-week']",0.8366666666666667,0.7364444422702501,0.6141732283464567,0.8975053566711345,0.7552194035599147,0.6698456674304785,0.18174596204360913,0.2596633872672575,0.25198214754528747,0.25198214754528747
adult,original,[],FairmRMR_lambda1.0,1.0,logistic_regression,8,"['age', 'education-num', 'fnlwgt', 'race', 'workclass', 'capital-gain', 'native-country', 'marital-status']",0.8246666666666667,0.7199341545265094,0.5858267716535434,0.8806073829114852,0.792670905256804,0.6425001397216744,0.17875192616308314,0.268875318398537,0.18367025466001574,0.18367025466001574
adult,original,[],FairmRMR_lambda1.0,1.0,random_forest,8,"['age', 'education-num', 'fnlwgt', 'race', 'workclass', 'capital-gain', 'native-country', 'marital-status']",0.832,0.7410502010586152,0.6170212765957447,0.8750366895283196,0.792670905256804,0.6425001397216744,0.16886362366166593,0.3416957171314742,0.16650039380414805,0.16650039380414805
adult,original,[],FairmRMR_lambda1.0,1.0,gradient_boosting,8,"['age', 'education-num', 'fnlwgt', 'race', 'workclass', 'capital-gain', 'native-country', 'marital-status']",0.8333333333333334,0.7361729397606864,0.6118012422360248,0.8936199356221075,0.792670905256804,0.6425001397216744,0.17579381871312344,0.29541272660362566,0.2024153321081648,0.2024153321081648
adult,original,[],FairCFS_lambda1.0,1.0,logistic_regression,8,"['age', 'education', 'capital-gain', 'education-num', 'workclass', 'fnlwgt', 'native-country', 'marital-status']",0.8246666666666667,0.7151400561594381,0.5792,0.8799396334960718,0.7976918655500178,0.6439851815184153,0.17172592196344882,0.2707128931084174,0.16660540824363346,0.16660540824363346
adult,original,[],FairCFS_lambda1.0,1.0,random_forest,8,"['age', 'education', 'capital-gain', 'education-num', 'workclass', 'fnlwgt', 'native-country', 'marital-status']",0.8273333333333334,0.7418206811533231,0.6151560178306092,0.868949896780127,0.7976918655500178,0.6439851815184153,0.17491157614032846,0.3486501754177321,0.1237595169335784,0.1237595169335784
adult,original,[],FairCFS_lambda1.0,1.0,gradient_boosting,8,"['age', 'education', 'capital-gain', 'education-num', 'workclass', 'fnlwgt', 'native-country', 'marital-status']",0.8333333333333334,0.7371317594341007,0.6130030959752322,0.8932933988200648,0.7976918655500178,0.6439851815184153,0.1807918626096815,0.28400682982356296,0.2246258860593331,0.2246258860593331
adult,original,[],FairLasso_lambda1.0,1.0,logistic_regression,8,"['education', 'relationship', 'marital-status', 'workclass', 'occupation', 'native-country', 'race', 'education-num']",0.8266666666666667,0.7202888199669305,0.5873015873015873,0.8560266219217486,0.8161718858501725,0.8177989445025509,0.17074787024247698,0.2840068298235629,0.2366500393804148,0.2366500393804148
adult,original,[],FairLasso_lambda1.0,1.0,random_forest,8,"['education', 'relationship', 'marital-status', 'workclass', 'occupation', 'native-country', 'race', 'education-num']",0.8046666666666666,0.7039228443679129,0.5553869499241275,0.8321185022845345,0.8161718858501725,0.8177989445025509,0.154895448267052,0.38656485170429394,0.09824100813861902,0.09824100813861902
adult,original,[],FairLasso_lambda1.0,1.0,gradient_boosting,8,"['education', 'relationship', 'marital-status', 'workclass', 'occupation', 'native-country', 'race', 'education-num']",0.826,0.7227274506158949,0.5902668759811617,0.8609552485593246,0.8161718858501725,0.8177989445025509,0.1687797906570112,0.3039577228276975,0.17169860855867675,0.17169860855867675
adult,original,[],BasicFACMIM_lambda1.0,1.0,logistic_regression,8,"['age', 'education', 'native-country', 'capital-gain', 'capital-loss', 'fnlwgt', 'workclass', 'race']",0.8086666666666666,0.6432677161502411,0.4491362763915547,0.7852256161394788,0.74228959685151,0.5118024894410335,0.058535397488203494,0.5436068227091634,0.09855605145707536,0.09855605145707536
adult,original,[],BasicFACMIM_lambda1.0,1.0,random_forest,8,"['age', 'education', 'native-country', 'capital-gain', 'capital-loss', 'fnlwgt', 'workclass', 'race']",0.804,0.6823909831815202,0.5227272727272727,0.817660382158127,0.74228959685151,0.5118024894410335,0.03995241478973882,0.7844729191342739,0.04195326857442894,0.04195326857442894
adult,original,[],BasicFACMIM_lambda1.0,1.0,gradient_boosting,8,"['age', 'education', 'native-country', 'capital-gain', 'capital-loss', 'fnlwgt', 'workclass', 'race']",0.8233333333333334,0.6605704977056814,0.4854368932038835,0.8262273870207124,0.74228959685151,0.5118024894410335,0.049529337559581305,0.5914852984755194,0.013074297715935934,0.013074297715935934
