dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features
COMPAS,CMIM_k5,logistic_regression,0.6633333333333333,0.6626351306731681,0.6446164672765659,0.7142520583054163,0.2146034229251491,0.6205131551046373,0.23769085151177405,0.23769085151177405,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,26.343939304351807,5,c_charge_desc|priors_count|age|c_charge_degree|age_cat
COMPAS,CMIM_k5,random_forest,0.6473333333333333,0.6450621195057569,0.6180505415162455,0.6986887171130717,0.1908934768130674,0.6411202635914333,0.17161155635758896,0.17161155635758896,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,26.343939304351807,5,c_charge_desc|priors_count|age|c_charge_degree|age_cat
COMPAS,CMIM_k5,gradient_boosting,0.68,0.6752990856537049,0.6374622356495468,0.7360630458101237,0.20283515757742354,0.5911246146351259,0.2330201864727633,0.2330201864727633,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,26.343939304351807,5,c_charge_desc|priors_count|age|c_charge_degree|age_cat
COMPAS,mRMR_k5,logistic_regression,0.6373333333333333,0.6324642016380774,0.5891238670694864,0.6779316462338321,0.15579161370424555,0.6734227440425088,0.16875431240380023,0.16875431240380023,0.030165699382606263,0.3914698918879308,0.6192535388736484,5,0.0|0.5|1.0|2.0,1.2969298362731934,5,c_charge_desc|juv_fel_count|juv_misd_count|juv_other_count|priors_count
COMPAS,mRMR_k5,random_forest,0.628,0.6248556553648015,0.5915080527086384,0.6571451263718319,0.11980606990855103,0.7557378529033423,0.10631070537657239,0.10631070537657239,0.030165699382606263,0.3914698918879308,0.6192535388736484,5,0.0|0.5|1.0|2.0,1.2969298362731934,5,c_charge_desc|juv_fel_count|juv_misd_count|juv_other_count|priors_count
COMPAS,mRMR_k5,gradient_boosting,0.65,0.6448033254148291,0.6007604562737643,0.6916102525294892,0.14017869167292374,0.6983624779182629,0.16111140597632828,0.16111140597632828,0.030165699382606263,0.3914698918879308,0.6192535388736484,5,0.0|0.5|1.0|2.0,1.2969298362731934,5,c_charge_desc|juv_fel_count|juv_misd_count|juv_other_count|priors_count
COMPAS,ProxyRank_k5_lambda0.0,logistic_regression,0.6633333333333333,0.6626351306731681,0.6446164672765659,0.7142520583054163,0.2146034229251491,0.6205131551046373,0.23769085151177405,0.23769085151177405,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,0.27661705017089844,5,c_charge_desc|priors_count|age|age_cat|c_charge_degree
COMPAS,ProxyRank_k5_lambda0.0,random_forest,0.64,0.6378257012873667,0.6109510086455331,0.6953333178651807,0.18871840472575463,0.6459547575208007,0.1752383985280328,0.1752383985280328,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,0.27661705017089844,5,c_charge_desc|priors_count|age|age_cat|c_charge_degree
COMPAS,ProxyRank_k5_lambda0.0,gradient_boosting,0.6806666666666666,0.6759264382258505,0.6379440665154951,0.7361451460044869,0.20448260403541363,0.587803689833805,0.2330201864727633,0.2330201864727633,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,0.27661705017089844,5,c_charge_desc|priors_count|age|age_cat|c_charge_degree
COMPAS,FairmRMR_k5_lambda0.0,logistic_regression,0.6373333333333333,0.6324642016380774,0.5891238670694864,0.6779316462338321,0.15579161370424555,0.6734227440425088,0.16875431240380023,0.16875431240380023,0.030165699382606263,0.3914698918879308,0.6192535388736484,5,0.0|0.5|1.0|2.0,0.8717060089111328,5,c_charge_desc|juv_fel_count|juv_misd_count|juv_other_count|priors_count
COMPAS,FairmRMR_k5_lambda0.0,random_forest,0.628,0.6248556553648015,0.5915080527086384,0.6571451263718319,0.11980606990855103,0.7557378529033423,0.10631070537657239,0.10631070537657239,0.030165699382606263,0.3914698918879308,0.6192535388736484,5,0.0|0.5|1.0|2.0,0.8717060089111328,5,c_charge_desc|juv_fel_count|juv_misd_count|juv_other_count|priors_count
