selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,selected_features
BasicFACMIM_k8_lambda0.0,gradient_boosting,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,0.0340866482598766,0.0340866482598766,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker
BasicFACMIM_k8_lambda0.0,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker
BasicFACMIM_k8_lambda0.0,random_forest,0.8046666666666666,0.7933779367602897,0.7535744322960471,0.8785872269328151,0.0576645230997306,0.8595920044050938,0.0619013532399359,0.0619013532399359,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker
BasicFACMIM_k8_lambda0.5,gradient_boosting,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8808818009185656,0.0699821060320798,0.8368405856532528,0.0314619763438661,0.0314619763438661,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|age|occupation|birthplace|marital-status|class-worker
BasicFACMIM_k8_lambda0.5,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|age|occupation|birthplace|marital-status|class-worker
BasicFACMIM_k8_lambda0.5,random_forest,0.7953333333333333,0.7827018194665254,0.7400508044030483,0.876097604957899,0.0694813620952993,0.8308190502827475,0.0351433343559327,0.0351433343559327,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|age|occupation|birthplace|marital-status|class-worker
BasicFACMIM_k8_lambda1.0,gradient_boosting,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,0.0340866482598766,0.0340866482598766,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|age|hours-per-week|relationship|birthplace|marital-status|class-worker|occupation
BasicFACMIM_k8_lambda1.0,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|age|hours-per-week|relationship|birthplace|marital-status|class-worker|occupation
BasicFACMIM_k8_lambda1.0,random_forest,0.7973333333333333,0.7851527998586822,0.7432432432432432,0.8767158702820467,0.065050047471961,0.8416089080786273,0.0342229948529161,0.0342229948529161,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|age|hours-per-week|relationship|birthplace|marital-status|class-worker|occupation
BasicFACMIM_k8_lambda2.0,gradient_boosting,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8809020417476301,0.0687670392034043,0.8392179736806769,0.0340866482598766,0.0340866482598766,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|age|hours-per-week|relationship|birthplace|class-worker|marital-status|occupation
BasicFACMIM_k8_lambda2.0,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|age|hours-per-week|relationship|birthplace|class-worker|marital-status|occupation
BasicFACMIM_k8_lambda2.0,random_forest,0.7986666666666666,0.7855171347818406,0.7431972789115646,0.8770213227933817,0.0607138562487997,0.8494954708049332,0.0420970106009476,0.0420970106009476,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|age|hours-per-week|relationship|birthplace|class-worker|marital-status|occupation
CMIM_k8,gradient_boosting,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,0.0340866482598766,0.0340866482598766,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker
CMIM_k8,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker
CMIM_k8,random_forest,0.8046666666666666,0.7933779367602897,0.7535744322960471,0.8785872269328151,0.0576645230997306,0.8595920044050938,0.0619013532399359,0.0619013532399359,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker
FairCFS_k8_lambda0.0,gradient_boosting,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8809462035564977,0.0687670392034043,0.8392179736806769,0.0340866482598766,0.0340866482598766,0.0125395886102254,0.6608572809917106,0.5941012723203469,education|occupation|hours-per-week|relationship|age|marital-status|birthplace|class-worker
FairCFS_k8_lambda0.0,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917106,0.5941012723203469,education|occupation|hours-per-week|relationship|age|marital-status|birthplace|class-worker
FairCFS_k8_lambda0.0,random_forest,0.8026666666666666,0.7911808867691221,0.7508417508417509,0.8801347303185539,0.0672181430835416,0.8377697015901618,0.0393359920918976,0.0393359920918976,0.0125395886102254,0.6608572809917106,0.5941012723203469,education|occupation|hours-per-week|relationship|age|marital-status|birthplace|class-worker
FairCFS_k8_lambda0.5,gradient_boosting,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,0.0340866482598766,0.0340866482598766,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker
FairCFS_k8_lambda0.5,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker
FairCFS_k8_lambda0.5,random_forest,0.8046666666666666,0.7933779367602897,0.7535744322960471,0.8785872269328151,0.0576645230997306,0.8595920044050938,0.0619013532399359,0.0619013532399359,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker
FairCFS_k8_lambda1.0,gradient_boosting,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8809462035564977,0.0687670392034043,0.8392179736806769,0.0340866482598766,0.0340866482598766,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|relationship|hours-per-week|occupation|age|marital-status|birthplace|class-worker
FairCFS_k8_lambda1.0,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,education|relationship|hours-per-week|occupation|age|marital-status|birthplace|class-worker
