selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equal_opportunity_ratio,equalized_odds_difference,equalized_odds_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,selected_feature_count,selected_features
BasicFACMIM_k8_lambda0.0,gradient_boosting,0.8426666666666667,0.7646254404402402,0.6609195402298851,0.8982744863590038,0.2227416869787802,0.2126700092208391,0.2820291034903837,0.568100358422939,0.2820291034903837,0.1236331569664902,0.0715649002832443,0.2717193255261839,0.5925344270293258,0.8591294516676088,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status
BasicFACMIM_k8_lambda0.0,logistic_regression,0.7846666666666666,0.8140171209742526,0.6720812182741117,0.8916793571514314,0.3354392715355957,0.3445735538901411,0.0799837183270582,0.9097692572609344,0.2590347123157394,0.2434027777777777,0.0715649002832443,0.2717193255261839,0.5925344270293258,0.8591294516676088,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status
BasicFACMIM_k8_lambda0.0,random_forest,0.7473333333333333,0.7916591151417294,0.6380133715377269,0.8813135652063391,0.4330270891586301,0.2591234003975034,0.2051490790678741,0.7757508342602892,0.3660451056314109,0.1586963309914129,0.0715649002832443,0.2717193255261839,0.5925344270293258,0.8591294516676088,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status
BasicFACMIM_k8_lambda0.5,gradient_boosting,0.85,0.7651656196526377,0.6666666666666666,0.9122438267754714,0.1868279679462619,0.2740806436286465,0.1505545944845833,0.7565009874917709,0.1505545944845833,0.1264430014430014,0.0235642676709959,0.1060794500629328,0.4947544756702017,0.7403617863199548,8.0,education|marital-status|age|native-country|hours-per-week|workclass|fnlwgt|capital-gain
BasicFACMIM_k8_lambda0.5,logistic_regression,0.7766666666666666,0.8008056790605824,0.6578140960163432,0.8961820274491067,0.3356593760444774,0.3390691589685145,0.1480105830874122,0.8306160475136835,0.2518918551728822,0.264265873015873,0.0235642676709959,0.1060794500629328,0.4947544756702017,0.7403617863199548,8.0,education|marital-status|age|native-country|hours-per-week|workclass|fnlwgt|capital-gain
BasicFACMIM_k8_lambda0.5,random_forest,0.754,0.8039784963952747,0.6502369668246446,0.8954735571095352,0.4072585575817851,0.2996803857799708,0.1564058206980767,0.8319300164024057,0.3379661707764418,0.2023088023088023,0.0235642676709959,0.1060794500629328,0.4947544756702017,0.7403617863199548,8.0,education|marital-status|age|native-country|hours-per-week|workclass|fnlwgt|capital-gain
BasicFACMIM_k8_lambda1.0,gradient_boosting,0.8306666666666667,0.7042030414796439,0.5723905723905723,0.8458512118138017,0.0705761031719505,0.5748729406565346,0.0807978019741528,0.843454258675079,0.0807978019741528,0.7537634408602151,0.0064451508567111,0.0126614406876996,0.2596870075993482,0.5816280384397965,8.0,education|age|native-country|fnlwgt|capital-gain|capital-loss|workclass|education-num
BasicFACMIM_k8_lambda1.0,logistic_regression,0.7373333333333333,0.7203495748001101,0.5689277899343544,0.8112197223078716,0.0211341088620596,0.9418526410227656,0.086140225908212,0.8863682126317203,0.086140225908212,0.7971662757803623,0.0064451508567111,0.0126614406876996,0.2596870075993482,0.5816280384397965,8.0,education|age|native-country|fnlwgt|capital-gain|capital-loss|workclass|education-num
BasicFACMIM_k8_lambda1.0,random_forest,0.7833333333333333,0.7554918219927081,0.6198830409356725,0.8389653979320197,0.0793435994424018,0.7685622228298994,0.0703673552457514,0.9071749781864556,0.0703673552457514,0.9071749781864556,0.0064451508567111,0.0126614406876996,0.2596870075993482,0.5816280384397965,8.0,education|age|native-country|fnlwgt|capital-gain|capital-loss|workclass|education-num
BasicFACMIM_k8_lambda2.0,gradient_boosting,0.8306666666666667,0.7042030414796439,0.5723905723905723,0.8458512118138017,0.0705761031719505,0.5748729406565346,0.0807978019741528,0.843454258675079,0.0807978019741528,0.7537634408602151,0.0064451508567111,0.0126614406876996,0.2596870075993482,0.5816280384397965,8.0,education|age|native-country|fnlwgt|capital-gain|capital-loss|education-num|workclass
BasicFACMIM_k8_lambda2.0,logistic_regression,0.7373333333333333,0.7203495748001101,0.5689277899343544,0.8112197223078716,0.0211341088620596,0.9418526410227656,0.086140225908212,0.8863682126317203,0.086140225908212,0.7971662757803623,0.0064451508567111,0.0126614406876996,0.2596870075993482,0.5816280384397965,8.0,education|age|native-country|fnlwgt|capital-gain|capital-loss|education-num|workclass
BasicFACMIM_k8_lambda2.0,random_forest,0.7833333333333333,0.7554918219927081,0.6198830409356725,0.8389653979320197,0.0793435994424018,0.7685622228298994,0.0703673552457514,0.9071749781864556,0.0703673552457514,0.9071749781864556,0.0064451508567111,0.0126614406876996,0.2596870075993482,0.5816280384397965,8.0,education|age|native-country|fnlwgt|capital-gain|capital-loss|education-num|workclass
CMIM_k8,gradient_boosting,0.8426666666666667,0.7646254404402402,0.6609195402298851,0.8982744863590038,0.2227416869787802,0.2126700092208391,0.2820291034903837,0.568100358422939,0.2820291034903837,0.1236331569664902,0.0715649002832443,0.2717193255261839,0.5925344270293258,0.8591294516676088,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status
CMIM_k8,logistic_regression,0.7846666666666666,0.8140171209742526,0.6720812182741117,0.8916793571514314,0.3354392715355957,0.3445735538901411,0.0799837183270582,0.9097692572609344,0.2590347123157394,0.2434027777777777,0.0715649002832443,0.2717193255261839,0.5925344270293258,0.8591294516676088,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status
CMIM_k8,random_forest,0.7473333333333333,0.7916591151417294,0.6380133715377269,0.8813135652063391,0.4330270891586301,0.2591234003975034,0.2051490790678741,0.7757508342602892,0.3660451056314109,0.1586963309914129,0.0715649002832443,0.2717193255261839,0.5925344270293258,0.8591294516676088,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status
