dataset,model,selector,selector_family,selector_lambda,method_label,accuracy_mean,accuracy_std,accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,f1_mean,f1_std,f1_count,auroc_mean,auroc_std,auroc_count,dpd_mean,dpd_std,dpd_count,dpr_mean,dpr_std,dpr_count,equal_opportunity_difference_mean,equal_opportunity_difference_std,equal_opportunity_difference_count,equalized_odds_difference_mean,equalized_odds_difference_std,equalized_odds_difference_count,joint_subset_mi_sensitive_mean,joint_subset_mi_sensitive_std,joint_subset_mi_sensitive_count,sensitive_attacker_balanced_accuracy_mean,sensitive_attacker_balanced_accuracy_std,sensitive_attacker_balanced_accuracy_count
Adult,gradient_boosting,CMIM_k8,CMIM,,CMIM,0.8333333333333334,0.005981452814975471,5,0.7305198243131088,0.019520503355797886,5,0.6079710859501751,0.030050955183050457,5,0.8858150324769433,0.007298971916522509,5,0.16866149864998134,0.034367085644030695,5,0.2871091592278466,0.06500582951348388,5,0.1289988354065698,0.09431175395192706,5,0.13903682955964508,0.08409547717132307,5,0.5883442850429316,0.007033753597360757,5,0.8505469191583195,0.013465602292155845,5
Adult,gradient_boosting,ProxyRank_k8_lambda2.0,ProxyRank,2.0,"Strongest fairness-aware baseline: ProxyRank, lambda=2",0.8309333333333333,0.0070961648483920765,5,0.6901093045077903,0.011599593598607908,5,0.5453791011675091,0.022807551212002716,5,0.8424382564741965,0.007407644437983773,5,0.07255524957337367,0.004249803404735757,5,0.5153266034289904,0.03489108653886361,5,0.053501803552830574,0.027824561743623265,5,0.05352236700577108,0.027782194084658283,5,0.26302378698133405,0.010254962810042798,5,0.5564849757100319,0.019408302682178368,5
Adult,gradient_boosting,SubsetFACMIM_k8_lambda1.0,Subset-aware FA-CMIM,1.0,"Subset-aware FA-CMIM, lambda=1",0.8325333333333333,0.010681240044530868,5,0.7026500882281063,0.013553355181380353,5,0.5673594121170693,0.026269095414806185,5,0.854615400188299,0.012064502446485966,5,0.0902284003532541,0.02115853272662861,5,0.473735497570212,0.10438260771596503,5,0.05742258059957687,0.06929040921792827,5,0.0615557308399425,0.06590975381562818,5,0.2506549922713933,0.014235153266239656,5,0.6077592177116264,0.019742945564642667,5
Adult,gradient_boosting,SubsetFACMIM_k8_lambda2.0,Subset-aware FA-CMIM,2.0,"Subset-aware FA-CMIM, lambda=2",0.8341333333333333,0.008607490278175707,5,0.7008790252990555,0.016017323827401883,5,0.564681430969709,0.030162481036307667,5,0.8536699108641963,0.013752890315209107,5,0.08135807782383192,0.016197028419244183,5,0.4987158270962448,0.09165825524647905,5,0.033457612446710625,0.030347610832855313,5,0.03759076268707625,0.026674695057575196,5,0.2525064043139702,0.016934015000056212,5,0.5914562216686642,0.03238615550634377,5
Adult,logistic_regression,CMIM_k8,CMIM,,CMIM,0.7838666666666667,0.0048396510434351205,5,0.8033893160312358,0.008603374285969958,5,0.6563529463685969,0.009967459263356243,5,0.8822819466277261,0.005574129646872902,5,0.32511267065479776,0.025904643432402053,5,0.3338153405479718,0.04104944099633267,5,0.12266536295480587,0.06449843016336418,5,0.2393204629987325,0.019671353657840264,5,0.5883442850429316,0.007033753597360757,5,0.8505469191583195,0.013465602292155845,5
Adult,logistic_regression,BasicFACMIM_k8_lambda1.0,Basic FA-CMIM,1.0,"Strongest fairness-aware baseline: Basic FA-CMIM, lambda=1",0.7330666666666666,0.008227325743453272,5,0.7083211621645404,0.011850040991186032,5,0.5479844711913012,0.019654105191876704,5,0.7948845391371483,0.011060829994300456,5,0.05846173650430444,0.025590627343483066,5,0.8397669896693856,0.06960612908276381,5,0.03774837803204194,0.03565874234556865,5,0.04397207624414452,0.02976971883592523,5,0.26302378698133405,0.010254962810042801,5,0.5563447146969207,0.01995987256498904,5
Adult,logistic_regression,SubsetFACMIM_k8_lambda1.0,Subset-aware FA-CMIM,1.0,"Subset-aware FA-CMIM, lambda=1",0.7452,0.013050329923458327,5,0.7238069511544061,0.013826739087303976,5,0.567655237785777,0.021706126138481784,5,0.8147422431472569,0.008599520970682565,5,0.11328820207446995,0.026471701688345898,5,0.7035556032532981,0.06148983072023766,5,0.04969543130973362,0.04245411893537169,5,0.05360005823620519,0.042556653933058505,5,0.2506549922713933,0.014235153266239656,5,0.6077592177116264,0.019742945564642667,5
Adult,logistic_regression,SubsetFACMIM_k8_lambda2.0,Subset-aware FA-CMIM,2.0,"Subset-aware FA-CMIM, lambda=2",0.7397333333333334,0.020448308813526224,5,0.7196390303084905,0.021343300953049458,5,0.5620694363920488,0.031043896658004624,5,0.8055791286398823,0.02642931952022132,5,0.10734574557410656,0.02104168780339493,5,0.7213444570931491,0.042447500491658526,5,0.028570165916952293,0.01676077636997565,5,0.037503467292203066,0.02010491521222918,5,0.2525064043139702,0.016934015000056212,5,0.5914562216686642,0.03238615550634377,5
Adult,random_forest,CMIM_k8,CMIM,,CMIM,0.7464000000000001,0.002521022720158551,5,0.7829592140705777,0.006600954696016527,5,0.6230807103038267,0.00861333323457544,5,0.8762233652293843,0.004584286764432085,5,0.4392425134849642,0.01107193098089209,5,0.22666435465292686,0.022804090563077316,5,0.26907278165893517,0.07258829664764124,5,0.371246400819697,0.010818297448626895,5,0.5883442850429316,0.007033753597360757,5,0.8505469191583195,0.013465602292155845,5
Adult,random_forest,ProxyRank_k8_lambda2.0,ProxyRank,2.0,"Strongest fairness-aware baseline: ProxyRank, lambda=2",0.7826666666666667,0.013711309200802055,5,0.7307150193253514,0.016955435377805778,5,0.5866482184834032,0.028291640125315515,5,0.8275950598677688,0.007657625267508903,5,0.09203904116535463,0.020353384120444604,5,0.7045388681235248,0.055549146052460224,5,0.040223890026212114,0.02699656832918203,5,0.04429362956173803,0.022407827751387832,5,0.26302378698133405,0.010254962810042798,5,0.5564849757100319,0.019408302682178368,5
Adult,random_forest,SubsetFACMIM_k8_lambda1.0,Subset-aware FA-CMIM,1.0,"Subset-aware FA-CMIM, lambda=1",0.7758666666666667,0.012947758278730872,5,0.7473184278931009,0.024880552446025928,5,0.6014471903250505,0.03363803943343141,5,0.8466890113454155,0.011591843925268212,5,0.12581084902668346,0.025030636479415187,5,0.6496938043491047,0.06075228324903402,5,0.024845616968114048,0.022333997968023496,5,0.04487770640745239,0.01907661041250862,5,0.2506549922713933,0.014235153266239656,5,0.6077592177116264,0.019742945564642667,5
Adult,random_forest,SubsetFACMIM_k8_lambda2.0,Subset-aware FA-CMIM,2.0,"Subset-aware FA-CMIM, lambda=2",0.7786666666666667,0.008781293248212967,5,0.7467149653873963,0.025662183744259316,5,0.6015950349614582,0.033442330166983114,5,0.8435156141864957,0.0176278415704061,5,0.11473577131058996,0.01742616763865611,5,0.6710304503118377,0.03951852100377964,5,0.024235213571086444,0.02120588089876418,5,0.0415108258227744,0.013856363406263575,5,0.2525064043139702,0.016934015000056212,5,0.5914562216686642,0.03238615550634377,5
German Credit,gradient_boosting,CMIM_k8,CMIM,,CMIM,0.7553333333333333,0.028635642126552726,5,0.6690476190476191,0.03328605869128695,5,0.5264690313409599,0.054395204922250015,5,0.7674814814814814,0.020312588977308126,5,0.05035698643699179,0.04950298754574427,5,0.8260926092648238,0.14559134008068914,5,0.07502850542056698,0.04153162604938768,5,0.08632293801637937,0.03577953740085054,5,0.4190508492850963,0.047505778421601697,5,0.6554319348042732,0.021895419216257286,5
German Credit,gradient_boosting,FairmRMR_k8_lambda0.5,fair-mRMR,0.5,"Strongest fairness-aware baseline: fair-mRMR, lambda=0.5",0.734,0.02046677524401164,5,0.65,0.030824930930061004,5,0.4956825981598749,0.051120452519780674,5,0.7350529100529102,0.021467320768510885,5,0.029639651277028868,0.027226286113012206,5,0.8951157715821024,0.06433215220047958,5,0.06471631535352262,0.045331707082448096,5,0.08113936080769983,0.028623097684723466,5,0.352654969701344,0.06865264476221247,5,0.6373587461930893,0.02407580998112619,5
German Credit,gradient_boosting,SubsetFACMIM_k8_lambda1.0,Subset-aware FA-CMIM,1.0,"Subset-aware FA-CMIM, lambda=1",0.7193333333333334,0.021525179054617257,5,0.6306349206349207,0.02884896072033596,5,0.4652067383574912,0.048544821692662735,5,0.7277989417989417,0.030207791014903028,5,0.04481242014460628,0.027459812801989565,5,0.8326263834045031,0.09349893819496295,5,0.08086862527922027,0.06711325669102453,5,0.0969349418489167,0.05182539223379171,5,0.22885295611072717,0.03515187873978843,5,0.6548527404848559,0.03598644954469542,5
German Credit,gradient_boosting,SubsetFACMIM_k8_lambda2.0,Subset-aware FA-CMIM,2.0,"Subset-aware FA-CMIM, lambda=2",0.708,0.018944362984510448,5,0.6136507936507936,0.024522396836077025,5,0.43492479651211696,0.044839682083632586,5,0.7165449735449736,0.018031896237916737,5,0.1025337630639429,0.03583716286100574,5,0.6697956947917804,0.03642423920235612,5,0.04582967132942439,0.006806180919186642,5,0.12135518791831368,0.06917719828141128,5,0.2234692925429028,0.01615327927718798,5,0.6638162769761621,0.02600529686886017,5
German Credit,logistic_regression,CMIM_k8,CMIM,,CMIM,0.6933333333333334,0.018856180831641263,5,0.6895238095238095,0.013308745280161604,5,0.5707677810541194,0.015607710539748255,5,0.7492804232804233,0.019330230012471205,5,0.18437266713109196,0.07324077624384817,5,0.6875398308383399,0.10751926220332948,5,0.09412191012266394,0.027124205293273376,5,0.2114765336910159,0.07467722168932583,5,0.4190508492850963,0.047505778421601697,5,0.6554319348042732,0.021895419216257286,5
German Credit,logistic_regression,FairmRMR_k8_lambda0.5,fair-mRMR,0.5,"Strongest fairness-aware baseline: fair-mRMR, lambda=0.5",0.6946666666666667,0.025011108643072117,5,0.6942857142857143,0.023472482186701914,5,0.5767769198443116,0.027119234027260873,5,0.749904761904762,0.022987618733665546,5,0.14114876130628257,0.06417538686754186,5,0.7467383321638328,0.0928298962438015,5,0.048262302148996,0.042202628087666914,5,0.17090872430876863,0.05565936335300271,5,0.352654969701344,0.06865264476221247,5,0.6373587461930893,0.02407580998112619,5
German Credit,logistic_regression,SubsetFACMIM_k8_lambda1.0,Subset-aware FA-CMIM,1.0,"Subset-aware FA-CMIM, lambda=1",0.694,0.012780193008453898,5,0.7001587301587302,0.01548534527762767,5,0.5830798124021481,0.019083616751373073,5,0.7516455026455027,0.024145907134164746,5,0.16675474147965147,0.03171551813697309,5,0.7103403198486263,0.050913379919741195,5,0.03691706723262957,0.0218629354235688,5,0.17137350847951194,0.035366787012003964,5,0.22885295611072717,0.03515187873978843,5,0.6548527404848559,0.03598644954469542,5
German Credit,logistic_regression,SubsetFACMIM_k8_lambda2.0,Subset-aware FA-CMIM,2.0,"Subset-aware FA-CMIM, lambda=2",0.6693333333333333,0.004346134936801763,5,0.6799999999999999,0.017127050325717562,5,0.5609499587073214,0.02213120129026129,5,0.7337989417989419,0.01291247320967962,5,0.17016949793324945,0.03192002190661333,5,0.715885934045102,0.05450106134160606,5,0.07116448674838108,0.05737362085042636,5,0.14178945649822733,0.05374421796528681,5,0.2234692925429028,0.01615327927718798,5,0.6638162769761621,0.02600529686886017,5
German Credit,random_forest,CMIM_k8,CMIM,,CMIM,0.746,0.015527752931802814,5,0.6534920634920635,0.023507341664231674,5,0.4979950829085739,0.04059574428807075,5,0.7530264550264552,0.02869603803718171,5,0.07492510500852752,0.04183345461675132,5,0.7353688150926481,0.1407323711031212,5,0.06163832823532338,0.0631344168137713,5,0.08788351110998552,0.05593113846358714,5,0.4190508492850963,0.047505778421601697,5,0.6554319348042732,0.021895419216257286,5
