selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status,dataset,seed,selector_family,selector_lambda,method_label,lambda_values,selector_runtime_seconds,n_selected_features
CMIM_k8,logistic_regression,8,,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/seed_robustness/raw/adult/seed_42/diagnostics/CMIM_k8_diagnostics.csv,0.7846666666666666,0.8140171209742526,0.6720812182741117,0.8916793571514314,0.3354392715355957,0.3445735538901411,0.17634854771784234,0.5117878192534381,0.25903471231573943,0.24340277777777777,0.8064516129032258,0.886435331230284,0.08333333333333333,0.34236804564907275,0.0799837183270582,0.9097692572609344,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok,Adult,42,CMIM,,CMIM,,,
CMIM_k8,random_forest,8,,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/seed_robustness/raw/adult/seed_42/diagnostics/CMIM_k8_diagnostics.csv,0.7473333333333333,0.7916591151417294,0.6380133715377269,0.8813135652063391,0.4330270891586301,0.2591234003975034,0.15145228215767634,0.5844793713163065,0.3660451056314109,0.15869633099141298,0.7096774193548387,0.9148264984227129,0.06904761904761905,0.43509272467902993,0.20514907906787416,0.7757508342602892,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok,Adult,42,CMIM,,CMIM,,,
CMIM_k8,gradient_boosting,8,,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/seed_robustness/raw/adult/seed_42/diagnostics/CMIM_k8_diagnostics.csv,0.8426666666666667,0.7646254404402402,0.6609195402298851,0.8982744863590038,0.22274168697878027,0.21267000922083912,0.06016597510373444,0.2829076620825147,0.2820291034903837,0.12363315696649028,0.3709677419354839,0.6529968454258676,0.014285714285714285,0.11554921540656206,0.2820291034903837,0.568100358422939,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok,Adult,42,CMIM,,CMIM,,,
mRMR_k8,logistic_regression,8,,8.0,relationship|education-num|capital-gain|hours-per-week|age|capital-loss|occupation|fnlwgt,results/seed_robustness/raw/adult/seed_42/diagnostics/mRMR_k8_diagnostics.csv,0.7806666666666666,0.8061015536919307,0.6639427987742594,0.8965703915887389,0.36928645379028113,0.2880045265937382,0.14937759336099585,0.518664047151277,0.29330208545615105,0.17427806463951043,0.7419354838709677,0.8801261829652997,0.06190476190476191,0.35520684736091296,0.1381906990943319,0.842987628627587,0.05488192857626792,0.2717193255261839,0.5867927222905123,0.8660260033917467,0.9345166760881854,ok,Adult,42,mRMR,,mRMR,,,
mRMR_k8,random_forest,8,,8.0,relationship|education-num|capital-gain|hours-per-week|age|capital-loss|occupation|fnlwgt,results/seed_robustness/raw/adult/seed_42/diagnostics/mRMR_k8_diagnostics.csv,0.792,0.8197966854885974,0.680327868852459,0.9113917793903389,0.39385256258712475,0.2491724555923353,0.13070539419087138,0.5245579567779961,0.30568915155220433,0.12891018195896245,0.7096774193548387,0.9085173501577287,0.04523809523809524,0.3509272467902996,0.19883993080288997,0.7811379928315413,0.05488192857626792,0.2717193255261839,0.5867927222905123,0.8660260033917467,0.9345166760881854,ok,Adult,42,mRMR,,mRMR,,,
mRMR_k8,gradient_boosting,8,,8.0,relationship|education-num|capital-gain|hours-per-week|age|capital-loss|occupation|fnlwgt,results/seed_robustness/raw/adult/seed_42/diagnostics/mRMR_k8_diagnostics.csv,0.8613333333333333,0.7841001367512516,0.695906432748538,0.9252363725377125,0.17732678997953844,0.31879746339935805,0.08298755186721991,0.26031434184675833,0.08415528836356226,0.07823660714285714,0.5967741935483871,0.6340694006309149,0.007142857142857143,0.0912981455064194,0.03729520708252776,0.941181190820093,0.05488192857626792,0.2717193255261839,0.5867927222905123,0.8660260033917467,0.9345166760881854,ok,Adult,42,mRMR,,mRMR,,,
ProxyRank_k8_lambda0.0,logistic_regression,8,0.0,8.0,relationship|marital-status|occupation|education|age|education-num|hours-per-week|workclass,results/seed_robustness/raw/adult/seed_42/diagnostics/ProxyRank_k8_lambda0.0_diagnostics.csv,0.7786666666666666,0.808256386236375,0.6646464646464646,0.8898705217495688,0.33729385582339466,0.34597115194625566,0.17842323651452283,0.5157170923379175,0.2652129610760139,0.24425087108013938,0.8064516129032258,0.8801261829652997,0.08571428571428572,0.3509272467902996,0.0736745700620739,0.9162909006821598,0.07061729556409573,0.2717193255261839,0.5869269590475168,0.8625777275296778,0.938111927642736,ok,Adult,42,ProxyRank,0.0,"ProxyRank, lambda=0",,,
ProxyRank_k8_lambda0.0,random_forest,8,0.0,8.0,relationship|marital-status|occupation|education|age|education-num|hours-per-week|workclass,results/seed_robustness/raw/adult/seed_42/diagnostics/ProxyRank_k8_lambda0.0_diagnostics.csv,0.7693333333333333,0.8011387307318427,0.654690618762475,0.8847700060490656,0.3949367810938379,0.2716564435624511,0.14730290456431536,0.5422396856581533,0.318025270022417,0.16815031982942427,0.7096774193548387,0.8958990536277602,0.06428571428571428,0.38231098430813126,0.1862216342729215,0.7921399363925489,0.07061729556409573,0.2717193255261839,0.5869269590475168,0.8625777275296778,0.938111927642736,ok,Adult,42,ProxyRank,0.0,"ProxyRank, lambda=0",,,
ProxyRank_k8_lambda0.0,gradient_boosting,8,0.0,8.0,relationship|marital-status|occupation|education|age|education-num|hours-per-week|workclass,results/seed_robustness/raw/adult/seed_42/diagnostics/ProxyRank_k8_lambda0.0_diagnostics.csv,0.8386666666666667,0.7680618746454706,0.6620111731843575,0.8941601802009609,0.22404600999437507,0.24477205902558327,0.07261410788381743,0.2966601178781925,0.2269766968556019,0.1451345755693582,0.43548387096774194,0.6624605678233438,0.01904761904761905,0.1312410841654779,0.2269766968556019,0.657373271889401,0.07061729556409573,0.2717193255261839,0.5869269590475168,0.8625777275296778,0.938111927642736,ok,Adult,42,ProxyRank,0.0,"ProxyRank, lambda=0",,,
FairmRMR_k8_lambda0.0,logistic_regression,8,0.0,8.0,relationship|education-num|capital-gain|hours-per-week|age|capital-loss|occupation|fnlwgt,results/seed_robustness/raw/adult/seed_42/diagnostics/FairmRMR_k8_lambda0.0_diagnostics.csv,0.7806666666666666,0.8061015536919307,0.6639427987742594,0.8965703915887389,0.36928645379028113,0.2880045265937382,0.14937759336099585,0.518664047151277,0.29330208545615105,0.17427806463951043,0.7419354838709677,0.8801261829652997,0.06190476190476191,0.35520684736091296,0.1381906990943319,0.842987628627587,0.05488192857626792,0.2717193255261839,0.5867927222905123,0.8660260033917467,0.9345166760881854,ok,Adult,42,fair-mRMR,0.0,"fair-mRMR, lambda=0",,,
