candidate,selected,selection_rank,marginal_relevance,cmim_score,score,runtime_elapsed_seconds
c_charge_desc,True,1.0,0.08384883078603281,0.08384883078603281,0.08384883078603281,0.22400832176208496
priors_count,False,,0.05300766726998611,0.05300766726998611,0.05300766726998611,0.22400832176208496
age,False,,0.018066024811884684,0.018066024811884684,0.018066024811884684,0.22400832176208496
age_cat,False,,0.01234980438445929,0.01234980438445929,0.01234980438445929,0.22400832176208496
c_charge_degree,False,,0.007051721282161222,0.007051721282161222,0.007051721282161222,0.22400832176208496
juv_fel_count,False,,0.0,0.0,0.0,0.22400832176208496
juv_misd_count,False,,0.0,0.0,0.0,0.22400832176208496
juv_other_count,False,,0.0,0.0,0.0,0.22400832176208496
priors_count,True,2.0,0.05300766726998611,0.09437263851893339,0.09437263851893339,8.462688446044922
age,False,,0.018066024811884684,0.08668129604489204,0.08668129604489204,8.462688446044922
age_cat,False,,0.01234980438445929,0.05224420144940214,0.05224420144940214,8.462688446044922
c_charge_degree,False,,0.007051721282161222,0.006760012693598127,0.006760012693598127,8.462688446044922
juv_fel_count,False,,0.0,0.0,0.0,8.462688446044922
juv_misd_count,False,,0.0,0.0,0.0,8.462688446044922
juv_other_count,False,,0.0,0.0,0.0,8.462688446044922
age,True,3.0,0.018066024811884684,0.03480601220337591,0.03480601220337591,14.420133829116821
age_cat,False,,0.01234980438445929,0.027599139357007023,0.027599139357007023,14.420133829116821
c_charge_degree,False,,0.007051721282161222,0.0030747507824423247,0.0030747507824423247,14.420133829116821
juv_fel_count,False,,0.0,0.0,0.0,14.420133829116821
juv_misd_count,False,,0.0,0.0,0.0,14.420133829116821
juv_other_count,False,,0.0,0.0,0.0,14.420133829116821
c_charge_degree,True,4.0,0.007051721282161222,0.0030747507824423247,0.0030747507824423247,22.401954174041748
age_cat,False,,0.01234980438445929,6.5572341975965136e-06,6.5572341975965136e-06,22.401954174041748
juv_fel_count,False,,0.0,0.0,0.0,22.401954174041748
juv_misd_count,False,,0.0,0.0,0.0,22.401954174041748
juv_other_count,False,,0.0,0.0,0.0,22.401954174041748
age_cat,True,5.0,0.01234980438445929,6.5572341975965136e-06,6.5572341975965136e-06,26.33518648147583
juv_fel_count,False,,0.0,0.0,0.0,26.33518648147583
juv_misd_count,False,,0.0,0.0,0.0,26.33518648147583
juv_other_count,False,,0.0,0.0,0.0,26.33518648147583
