candidate,selected,selection_rank,score_rank,proxy_rank,marginal_relevance,proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
priors_count,True,1.0,1,3,0.05300766726998611,0.019004736411591824,1.0,0.03400293085839429,0.29377150535583496
c_charge_degree,True,2.0,2,5,0.007051721282161222,0.005694781680843475,1.0,0.001356939601317747,0.2937753200531006
juv_fel_count,True,3.0,3,6,0.0,0.0,1.0,0.0,0.2937769889831543
juv_misd_count,True,4.0,4,7,0.0,0.0,1.0,0.0,0.2937781810760498
juv_other_count,True,5.0,5,8,0.0,0.0,1.0,0.0,0.2937796115875244
age,False,,6,2,0.018066024811884684,0.019650133039737977,1.0,-0.0015841082278532925,0.293781042098999
age_cat,False,,7,4,0.01234980438445929,0.01601821519918864,1.0,-0.0036684108147293504,0.29378223419189453
c_charge_desc,False,,8,1,0.08384883078603281,0.08845942070557447,1.0,-0.004610589919541663,0.29378342628479004
