candidate,selected,selection_rank,marginal_relevance,cmim_score,utility_score,fairness_leakage,fairness_penalty,score,runtime_elapsed_seconds
priors_count,True,1.0,0.05300766726998611,0.05300766726998611,0.05300766726998611,0.019004736411591824,1.0,0.03400293085839429,0.2751774787902832
c_charge_degree,False,,0.007051721282161222,0.007051721282161222,0.007051721282161222,0.005694781680843475,1.0,0.001356939601317747,0.2751774787902832
juv_fel_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,0.2751774787902832
juv_misd_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,0.2751774787902832
juv_other_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,0.2751774787902832
age,False,,0.018066024811884684,0.018066024811884684,0.018066024811884684,0.019650133039737977,1.0,-0.0015841082278532925,0.2751774787902832
age_cat,False,,0.01234980438445929,0.01234980438445929,0.01234980438445929,0.01601821519918864,1.0,-0.0036684108147293504,0.2751774787902832
c_charge_desc,False,,0.08384883078603281,0.08384883078603281,0.08384883078603281,0.08845942070557447,1.0,-0.004610589919541663,0.2751774787902832
c_charge_desc,True,2.0,0.08384883078603281,0.12521380203498056,0.12521380203498056,0.08845942070557447,1.0,0.03675438132940609,0.4081301689147949
age,False,,0.018066024811884684,0.03480601220337591,0.03480601220337591,0.019650133039737977,1.0,0.015155879163637934,0.4081301689147949
age_cat,False,,0.01234980438445929,0.027599139357007023,0.027599139357007023,0.01601821519918864,1.0,0.011580924157818383,0.4081301689147949
juv_fel_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,0.4081301689147949
juv_misd_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,0.4081301689147949
juv_other_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,0.4081301689147949
c_charge_degree,False,,0.007051721282161222,0.0030747507824423247,0.0030747507824423247,0.005694781680843475,1.0,-0.00262003089840115,0.4081301689147949
age,True,3.0,0.018066024811884684,0.03480601220337591,0.03480601220337591,0.019650133039737977,1.0,0.015155879163637934,4.8519287109375
age_cat,False,,0.01234980438445929,0.027599139357007023,0.027599139357007023,0.01601821519918864,1.0,0.011580924157818383,4.8519287109375
juv_fel_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,4.8519287109375
juv_misd_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,4.8519287109375
juv_other_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,4.8519287109375
c_charge_degree,False,,0.007051721282161222,0.0030747507824423247,0.0030747507824423247,0.005694781680843475,1.0,-0.00262003089840115,4.8519287109375
juv_fel_count,True,4.0,0.0,0.0,0.0,0.0,1.0,0.0,7.697007417678833
juv_misd_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,7.697007417678833
juv_other_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,7.697007417678833
c_charge_degree,False,,0.007051721282161222,0.0030747507824423247,0.0030747507824423247,0.005694781680843475,1.0,-0.00262003089840115,7.697007417678833
age_cat,False,,0.01234980438445929,6.5572341975965136e-06,6.5572341975965136e-06,0.01601821519918864,1.0,-0.016011657964991044,7.697007417678833
juv_misd_count,True,5.0,0.0,0.0,0.0,0.0,1.0,0.0,10.005435466766357
juv_other_count,False,,0.0,0.0,0.0,0.0,1.0,0.0,10.005435466766357
c_charge_degree,False,,0.007051721282161222,0.0030747507824423247,0.0030747507824423247,0.005694781680843475,1.0,-0.00262003089840115,10.005435466766357
age_cat,False,,0.01234980438445929,6.5572341975965136e-06,6.5572341975965136e-06,0.01601821519918864,1.0,-0.016011657964991044,10.005435466766357
