candidate,selected,selection_rank,score_rank,proxy_rank,marginal_relevance,proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
priors_count,True,1.0,1,3,0.05300766726998611,0.019004736411591824,2.0,0.014998194446802462,0.24312853813171387
juv_fel_count,True,2.0,2,6,0.0,0.0,2.0,0.0,0.24313139915466309
juv_misd_count,True,3.0,3,7,0.0,0.0,2.0,0.0,0.243133544921875
juv_other_count,True,4.0,4,8,0.0,0.0,2.0,0.0,0.2431344985961914
c_charge_degree,True,5.0,5,5,0.007051721282161222,0.005694781680843475,2.0,-0.004337842079525728,0.24313616752624512
age_cat,False,,6,4,0.01234980438445929,0.01601821519918864,2.0,-0.01968662601391799,0.24313712120056152
age,False,,7,2,0.018066024811884684,0.019650133039737977,2.0,-0.02123424126759127,0.24313831329345703
c_charge_desc,False,,8,1,0.08384883078603281,0.08845942070557447,2.0,-0.09307001062511613,0.24313950538635254
