candidate,selected,selection_rank,marginal_relevance,redundancy,redundancy_weight,score,runtime_elapsed_seconds
c_charge_desc,True,1.0,0.08384883078603281,0.0,1.0,0.08384883078603281,0.26866602897644043
priors_count,False,,0.05300766726998611,0.0,1.0,0.05300766726998611,0.26866602897644043
age,False,,0.018066024811884684,0.0,1.0,0.018066024811884684,0.26866602897644043
age_cat,False,,0.01234980438445929,0.0,1.0,0.01234980438445929,0.26866602897644043
c_charge_degree,False,,0.007051721282161222,0.0,1.0,0.007051721282161222,0.26866602897644043
juv_fel_count,False,,0.0,0.0,1.0,0.0,0.26866602897644043
juv_misd_count,False,,0.0,0.0,1.0,0.0,0.26866602897644043
juv_other_count,False,,0.0,0.0,1.0,0.0,0.26866602897644043
juv_fel_count,True,2.0,0.0,0.0,1.0,0.0,0.40863943099975586
juv_misd_count,False,,0.0,0.0,1.0,0.0,0.40863943099975586
juv_other_count,False,,0.0,0.0,1.0,0.0,0.40863943099975586
priors_count,False,,0.05300766726998611,0.18571885277701483,1.0,-0.1327111855070287,0.40863943099975586
age_cat,False,,0.01234980438445929,0.14615636916960917,1.0,-0.13380656478514988,0.40863943099975586
age,False,,0.018066024811884684,0.22575265978270925,1.0,-0.20768663497082457,0.40863943099975586
c_charge_degree,False,,0.007051721282161222,0.5469317863185119,1.0,-0.5398800650363507,0.40863943099975586
juv_misd_count,True,3.0,0.0,0.0,1.0,0.0,0.6441404819488525
juv_other_count,False,,0.0,0.0,1.0,0.0,0.6441404819488525
priors_count,False,,0.05300766726998611,0.09285942638850742,1.0,-0.039851759118521304,0.6441404819488525
age_cat,False,,0.01234980438445929,0.07307818458480458,1.0,-0.060728380200345294,0.6441404819488525
age,False,,0.018066024811884684,0.11287632989135463,1.0,-0.09481030507946994,0.6441404819488525
c_charge_degree,False,,0.007051721282161222,0.27346589315925596,1.0,-0.2664141718770947,0.6441404819488525
juv_other_count,True,4.0,0.0,0.0,1.0,0.0,0.9386248588562012
priors_count,False,,0.05300766726998611,0.06190628425900494,1.0,-0.00889861698901883,0.9386248588562012
age_cat,False,,0.01234980438445929,0.04871878972320306,1.0,-0.03636898533874377,0.9386248588562012
age,False,,0.018066024811884684,0.07525088659423641,1.0,-0.05718486178235173,0.9386248588562012
c_charge_degree,False,,0.007051721282161222,0.18231059543950398,1.0,-0.17525887415734276,0.9386248588562012
priors_count,True,5.0,0.05300766726998611,0.04642971319425371,1.0,0.006577954075732403,1.2899324893951416
age_cat,False,,0.01234980438445929,0.03653909229240229,1.0,-0.024189287907943002,1.2899324893951416
age,False,,0.018066024811884684,0.05643816494567731,1.0,-0.03837214013379263,1.2899324893951416
c_charge_degree,False,,0.007051721282161222,0.13673294657962798,1.0,-0.12968122529746676,1.2899324893951416
