candidate,selected,selection_rank,score_rank,lasso_importance,marginal_relevance,proxy_leakage,fairness_penalty,nonzero_encoded_count,score,runtime_elapsed_seconds
c_charge_desc,True,1.0,1,1.0,0.08384883078603281,0.08845942070557447,1.0,307,0.9115405792944256,1.2361900806427002
priors_count,True,2.0,2,0.06527884133266203,0.05300766726998611,0.019004736411591824,1.0,4,0.0462741049210702,1.2361900806427002
age,True,3.0,3,0.03807126227620018,0.018066024811884684,0.019650133039737977,1.0,4,0.018421129236462205,1.2361900806427002
c_charge_degree,True,4.0,4,0.014211639447218455,0.007051721282161222,0.005694781680843475,1.0,2,0.00851685776637498,1.2361900806427002
juv_fel_count,True,5.0,5,0.0,0.0,0.0,1.0,0,0.0,1.2361900806427002
juv_misd_count,False,,6,0.0,0.0,0.0,1.0,0,0.0,1.2361900806427002
juv_other_count,False,,7,0.0,0.0,0.0,1.0,0,0.0,1.2361900806427002
age_cat,False,,8,0.01513062939374902,0.01234980438445929,0.01601821519918864,1.0,2,-0.0008875858054396193,1.2361900806427002
