candidate,selected,selection_rank,score_rank,lasso_importance,marginal_relevance,proxy_leakage,fairness_penalty,nonzero_encoded_count,score,runtime_elapsed_seconds
c_charge_desc,True,1.0,1,1.0,0.08384883078603281,0.08845942070557447,0.5,307,0.9557702896472128,1.1963410377502441
priors_count,True,2.0,2,0.06527884133266203,0.05300766726998611,0.019004736411591824,0.5,4,0.055776473126866115,1.1963410377502441
age,True,3.0,3,0.03807126227620018,0.018066024811884684,0.019650133039737977,0.5,4,0.028246195756331194,1.1963410377502441
c_charge_degree,True,4.0,4,0.014211639447218455,0.007051721282161222,0.005694781680843475,0.5,2,0.011364248606796717,1.1963410377502441
age_cat,True,5.0,5,0.01513062939374902,0.01234980438445929,0.01601821519918864,0.5,2,0.007121521794154701,1.1963410377502441
juv_fel_count,False,,6,0.0,0.0,0.0,0.5,0,0.0,1.1963410377502441
juv_misd_count,False,,7,0.0,0.0,0.0,0.5,0,0.0,1.1963410377502441
juv_other_count,False,,8,0.0,0.0,0.0,0.5,0,0.0,1.1963410377502441
