dataset,variant,removed_features,selector,lambda,model,k,selected_features,accuracy,balanced_accuracy,f1,auroc,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,dpd,dpr,equal_opportunity_difference,equalized_odds_difference
german_credit,original,[],CMIM,,logistic_regression,8,"['checking_status', 'duration', 'credit_history', 'purpose', 'employment', 'property_magnitude', 'savings_status', 'other_payment_plans']",0.7633333333333333,0.6753968253968254,0.5359477124183006,0.7856613756613757,0.8882598263421588,0.5265933628538733,0.04164386287875019,0.824748743718593,0.0025974025974025983,0.02398989898989899
german_credit,original,[],CMIM,,random_forest,8,"['checking_status', 'duration', 'credit_history', 'purpose', 'employment', 'property_magnitude', 'savings_status', 'other_payment_plans']",0.72,0.6222222222222222,0.4473684210526316,0.7371164021164021,0.8882598263421588,0.5265933628538733,0.0765212199611921,0.7027444916892153,0.010389610389610393,0.09280303030303029
german_credit,original,[],CMIM,,gradient_boosting,8,"['checking_status', 'duration', 'credit_history', 'purpose', 'employment', 'property_magnitude', 'savings_status', 'other_payment_plans']",0.74,0.6523809523809524,0.5,0.7685714285714286,0.8882598263421588,0.5265933628538733,0.011642370267177488,0.9488748088267424,0.05454545454545451,0.05454545454545451
german_credit,original,[],mRMR,,logistic_regression,8,"['checking_status', 'duration', 'other_payment_plans', 'savings_status', 'housing', 'credit_history', 'foreign_worker', 'employment']",0.76,0.6666666666666667,0.52,0.7667195767195768,0.793711399753489,0.5762475745061943,0.07164535549032289,0.7105527638190955,0.038961038961038974,0.053030303030303025
german_credit,original,[],mRMR,,random_forest,8,"['checking_status', 'duration', 'other_payment_plans', 'savings_status', 'housing', 'credit_history', 'foreign_worker', 'employment']",0.72,0.6444444444444445,0.4939759036144578,0.7067989417989418,0.793711399753489,0.5762475745061943,0.008756654559928356,0.9658318773053776,0.1376623376623376,0.1376623376623376
german_credit,original,[],mRMR,,gradient_boosting,8,"['checking_status', 'duration', 'other_payment_plans', 'savings_status', 'housing', 'credit_history', 'foreign_worker', 'employment']",0.72,0.6349206349206349,0.475,0.7321693121693121,0.793711399753489,0.5762475745061943,0.036320214936066464,0.8589099342868187,0.03636363636363632,0.04292929292929293
german_credit,original,[],ProxyRank_lambda0.0,0.0,logistic_regression,8,"['checking_status', 'credit_history', 'savings_status', 'duration', 'employment', 'property_magnitude', 'purpose', 'other_payment_plans']",0.7633333333333333,0.6753968253968254,0.5359477124183006,0.7856613756613757,0.8882598263421588,0.5265933628538733,0.04164386287875019,0.824748743718593,0.0025974025974025983,0.02398989898989899
german_credit,original,[],ProxyRank_lambda0.0,0.0,random_forest,8,"['checking_status', 'credit_history', 'savings_status', 'duration', 'employment', 'property_magnitude', 'purpose', 'other_payment_plans']",0.7233333333333334,0.6309523809523809,0.4645161290322581,0.7397883597883598,0.8882598263421588,0.5265933628538733,0.07637195880392061,0.7143123022520007,0.04675324675324671,0.10795454545454546
german_credit,original,[],ProxyRank_lambda0.0,0.0,gradient_boosting,8,"['checking_status', 'credit_history', 'savings_status', 'duration', 'employment', 'property_magnitude', 'purpose', 'other_payment_plans']",0.74,0.6555555555555556,0.5063291139240507,0.7684656084656084,0.8882598263421588,0.5265933628538733,0.016518234738046644,0.9304857621440537,0.0727272727272727,0.0727272727272727
german_credit,original,[],FairmRMR_lambda0.0,0.0,logistic_regression,8,"['checking_status', 'duration', 'other_payment_plans', 'savings_status', 'housing', 'credit_history', 'foreign_worker', 'employment']",0.76,0.6666666666666667,0.52,0.7667195767195768,0.793711399753489,0.5762475745061943,0.07164535549032289,0.7105527638190955,0.038961038961038974,0.053030303030303025
german_credit,original,[],FairmRMR_lambda0.0,0.0,random_forest,8,"['checking_status', 'duration', 'other_payment_plans', 'savings_status', 'housing', 'credit_history', 'foreign_worker', 'employment']",0.72,0.6444444444444445,0.4939759036144578,0.7067989417989418,0.793711399753489,0.5762475745061943,0.008756654559928356,0.9658318773053776,0.1376623376623376,0.1376623376623376
german_credit,original,[],FairmRMR_lambda0.0,0.0,gradient_boosting,8,"['checking_status', 'duration', 'other_payment_plans', 'savings_status', 'housing', 'credit_history', 'foreign_worker', 'employment']",0.72,0.6349206349206349,0.475,0.7321693121693121,0.793711399753489,0.5762475745061943,0.036320214936066464,0.8589099342868187,0.03636363636363632,0.04292929292929293
german_credit,original,[],FairCFS_lambda0.0,0.0,logistic_regression,8,"['checking_status', 'credit_history', 'duration', 'savings_status', 'employment', 'property_magnitude', 'other_payment_plans', 'foreign_worker']",0.76,0.6698412698412699,0.5263157894736842,0.7700264550264551,0.837861774746278,0.5363450917956117,0.031742872779740305,0.860607384749836,0.020779220779220786,0.020779220779220786
