selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,selected_features
BasicFACMIM_k8_lambda0.0,gradient_boosting,0.74,0.6555555555555556,0.5063291139240507,0.7694708994708994,0.0343202756874604,0.8650069156293223,0.074884792626728,0.074884792626728,0.0199695156551045,0.4865046117097847,0.6647091919262957,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans
BasicFACMIM_k8_lambda0.0,logistic_regression,0.71,0.7007936507936507,0.583732057416268,0.7801587301587303,0.0547858499191222,0.8756782636450687,0.1025345622119816,0.1025345622119816,0.0199695156551045,0.4865046117097847,0.6647091919262957,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans
BasicFACMIM_k8_lambda0.0,random_forest,0.7233333333333334,0.6309523809523809,0.4645161290322581,0.7351851851851854,0.0045713481960756,0.9792531120331952,0.0622119815668202,0.0622119815668202,0.0199695156551045,0.4865046117097847,0.6647091919262957,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans
BasicFACMIM_k8_lambda0.5,gradient_boosting,0.74,0.6555555555555556,0.5063291139240507,0.7685714285714286,0.0343202756874604,0.8650069156293223,0.074884792626728,0.074884792626728,0.0199695156551045,0.4865046117097847,0.6647091919262957,checking_status|duration|purpose|property_magnitude|credit_history|other_payment_plans|savings_status|employment
BasicFACMIM_k8_lambda0.5,logistic_regression,0.71,0.7007936507936507,0.583732057416268,0.7801587301587303,0.0547858499191222,0.8756782636450687,0.1025345622119816,0.1025345622119816,0.0199695156551045,0.4865046117097847,0.6647091919262957,checking_status|duration|purpose|property_magnitude|credit_history|other_payment_plans|savings_status|employment
BasicFACMIM_k8_lambda0.5,random_forest,0.7066666666666667,0.6126984126984127,0.4358974358974359,0.7419312169312168,0.0426190308741824,0.8323651452282158,0.0299539170506912,0.0299539170506912,0.0199695156551045,0.4865046117097847,0.6647091919262957,checking_status|duration|purpose|property_magnitude|credit_history|other_payment_plans|savings_status|employment
BasicFACMIM_k8_lambda1.0,gradient_boosting,0.7533333333333333,0.6587301587301587,0.5066666666666667,0.7716402116402116,0.0042197060271468,0.9792531120331948,0.042626728110599,0.0850603712380609,0.0139562361304513,0.4911255929135176,0.6266615092481891,checking_status|duration|property_magnitude|other_payment_plans|purpose|savings_status|credit_history|credit_amount
BasicFACMIM_k8_lambda1.0,logistic_regression,0.7333333333333333,0.7301587301587302,0.6190476190476191,0.7903174603174604,0.0084394120542936,0.9792531120331948,0.2188940092165898,0.2188940092165898,0.0139562361304513,0.4911255929135176,0.6266615092481891,checking_status|duration|property_magnitude|other_payment_plans|purpose|savings_status|credit_history|credit_amount
BasicFACMIM_k8_lambda1.0,random_forest,0.7566666666666667,0.6547619047619048,0.496551724137931,0.7643121693121694,0.0671636542654195,0.7169531713100178,0.0414746543778801,0.0414746543778801,0.0139562361304513,0.4911255929135176,0.6266615092481891,checking_status|duration|property_magnitude|other_payment_plans|purpose|savings_status|credit_history|credit_amount
BasicFACMIM_k8_lambda2.0,gradient_boosting,0.72,0.6222222222222222,0.4473684210526316,0.7490740740740741,0.0592165412476264,0.7670816044260028,0.0218894009216589,0.0218894009216589,0.0118286355033899,0.4865046117097847,0.6176594697236093,checking_status|duration|other_payment_plans|property_magnitude|savings_status|purpose|credit_amount|foreign_worker
BasicFACMIM_k8_lambda2.0,logistic_regression,0.7033333333333334,0.7087301587301587,0.593607305936073,0.7689417989417989,0.0132920739855123,0.9698372167251836,0.1670506912442396,0.1670506912442396,0.0118286355033899,0.4865046117097847,0.6176594697236093,checking_status|duration|other_payment_plans|property_magnitude|savings_status|purpose|credit_amount|foreign_worker
BasicFACMIM_k8_lambda2.0,random_forest,0.7666666666666667,0.6714285714285715,0.527027027027027,0.7509523809523808,0.0547155214853365,0.7694131594546532,0.0069124423963133,0.030455938006848,0.0118286355033899,0.4865046117097847,0.6176594697236093,checking_status|duration|other_payment_plans|property_magnitude|savings_status|purpose|credit_amount|foreign_worker
CMIM_k8,gradient_boosting,0.74,0.6555555555555556,0.5063291139240507,0.7694708994708994,0.0343202756874604,0.8650069156293223,0.074884792626728,0.074884792626728,0.0199695156551045,0.4865046117097847,0.6647091919262957,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans
CMIM_k8,logistic_regression,0.71,0.7007936507936507,0.583732057416268,0.7801587301587303,0.0547858499191222,0.8756782636450687,0.1025345622119816,0.1025345622119816,0.0199695156551045,0.4865046117097847,0.6647091919262957,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans
CMIM_k8,random_forest,0.7233333333333334,0.6309523809523809,0.4645161290322581,0.7351851851851854,0.0045713481960756,0.9792531120331952,0.0622119815668202,0.0622119815668202,0.0199695156551045,0.4865046117097847,0.6647091919262957,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans
