dataset_key,model,subset_selector,subset_accuracy,subset_joint_mi,subset_attacker_ba,cmim_selector,cmim_accuracy,cmim_joint_mi,cmim_attacker_ba,subset_joint_mi_advantage_vs_cmim,subset_accuracy_delta_vs_cmim,best_fairness_baseline_selector,best_fairness_baseline_family,baseline_accuracy,baseline_joint_mi,baseline_attacker_ba,subset_joint_mi_advantage_vs_best_fairness_baseline,subset_accuracy_delta_vs_best_fairness_baseline,supports_subset_proxy_advantage_vs_cmim,supports_subset_proxy_advantage_vs_fairness_baseline
acs_income,gradient_boosting,SubsetFACMIM_k8_lambda0.5,0.7933333333333333,0.6608572809917105,0.5941012723203469,CMIM_k8,0.7926666666666666,0.6608572809917105,0.5941012723203469,0.0,0.0006666666666667043,FairCFS_k8_lambda2.0,FairCFS-style,0.7933333333333333,0.6608572809917104,0.5941012723203469,-1.1102230246251565e-16,0.0,False,False
acs_income,logistic_regression,SubsetFACMIM_k8_lambda0.0,0.7646666666666667,0.6608572809917105,0.5941012723203469,CMIM_k8,0.7646666666666667,0.6608572809917105,0.5941012723203469,0.0,0.0,FairmRMR_k8_lambda0.0,fair-mRMR,0.7646666666666667,0.6608572809917104,0.5941012723203469,-1.1102230246251565e-16,0.0,False,False
acs_income,random_forest,SubsetFACMIM_k8_lambda0.0,0.8046666666666666,0.6608572809917105,0.5941012723203469,CMIM_k8,0.8046666666666666,0.6608572809917105,0.5941012723203469,0.0,0.0,FairmRMR_k8_lambda0.0,fair-mRMR,0.8053333333333333,0.6608572809917104,0.5941012723203469,-1.1102230246251565e-16,-0.0006666666666667043,False,False
adult,gradient_boosting,SubsetFACMIM_k8_lambda1.0,0.832,0.2518059131432508,0.6311475409836065,CMIM_k8,0.8426666666666667,0.5925344270293258,0.8591294516676088,0.340728513886075,-0.010666666666666713,ProxyRank_k8_lambda2.0,ProxyRank,0.8306666666666667,0.2596870075993482,0.579479932165065,0.007881094456097415,0.0013333333333332975,True,True
adult,logistic_regression,SubsetFACMIM_k8_lambda1.0,0.7646666666666667,0.2518059131432508,0.6311475409836065,CMIM_k8,0.7846666666666666,0.5925344270293258,0.8591294516676088,0.340728513886075,-0.019999999999999907,ProxyRank_k8_lambda2.0,ProxyRank,0.7493333333333333,0.2596870075993482,0.579479932165065,0.007881094456097415,0.015333333333333421,True,True
adult,random_forest,SubsetFACMIM_k8_lambda1.0,0.7813333333333333,0.2518059131432508,0.6311475409836065,CMIM_k8,0.7473333333333333,0.5925344270293258,0.8591294516676088,0.340728513886075,0.03400000000000003,ProxyRank_k8_lambda2.0,ProxyRank,0.794,0.2596870075993482,0.579479932165065,0.007881094456097415,-0.012666666666666715,True,True
compas,gradient_boosting,SubsetFACMIM_k8_lambda2.0,0.6813333333333333,0.5445003816101088,0.6532411156883762,CMIM_k8,0.6813333333333333,0.5445003816101089,0.6532411156883762,1.1102230246251565e-16,0.0,ProxyRank_k8_lambda0.5,ProxyRank,0.6813333333333333,0.5445003816101088,0.6532411156883762,0.0,0.0,False,False
compas,logistic_regression,SubsetFACMIM_k8_lambda2.0,0.6673333333333333,0.5445003816101088,0.6532411156883762,CMIM_k8,0.6673333333333333,0.5445003816101089,0.6532411156883762,1.1102230246251565e-16,0.0,ProxyRank_k8_lambda0.5,ProxyRank,0.6673333333333333,0.5445003816101088,0.6532411156883762,0.0,0.0,False,False
compas,random_forest,SubsetFACMIM_k8_lambda2.0,0.6406666666666667,0.5445003816101088,0.6532411156883762,CMIM_k8,0.6413333333333333,0.5445003816101089,0.6532411156883762,1.1102230246251565e-16,-0.0006666666666665932,ProxyRank_k8_lambda0.5,ProxyRank,0.646,0.5445003816101088,0.6532411156883762,0.0,-0.005333333333333301,False,False
german_credit,gradient_boosting,SubsetFACMIM_k8_lambda2.0,0.7133333333333334,0.2463354356087482,0.6903087418243196,CMIM_k8,0.74,0.4865046117097847,0.6647091919262957,0.2401691761010365,-0.026666666666666616,FairmRMR_k8_lambda1.0,fair-mRMR,0.7033333333333334,0.4246876955820409,0.5950137140445881,0.17835225997329268,0.010000000000000009,True,True
german_credit,logistic_regression,SubsetFACMIM_k8_lambda2.0,0.67,0.2463354356087482,0.6903087418243196,CMIM_k8,0.71,0.4865046117097847,0.6647091919262957,0.2401691761010365,-0.039999999999999925,FairmRMR_k8_lambda1.0,fair-mRMR,0.7033333333333334,0.4246876955820409,0.5950137140445881,0.17835225997329268,-0.033333333333333326,True,True
german_credit,random_forest,SubsetFACMIM_k8_lambda2.0,0.6766666666666666,0.2463354356087482,0.6903087418243196,CMIM_k8,0.7233333333333334,0.4865046117097847,0.6647091919262957,0.2401691761010365,-0.046666666666666745,ProxyRank_k8_lambda2.0,ProxyRank,0.7066666666666667,0.4246876955820409,0.5950137140445881,0.17835225997329268,-0.030000000000000027,True,True
