dataset_key,selector_family,model,n_configs,best_accuracy,mean_accuracy,lowest_dpd,lowest_equal_opportunity_difference,lowest_equalized_odds_difference,lowest_joint_subset_mi_sensitive,mean_joint_subset_mi_sensitive,lowest_sensitive_attacker_balanced_accuracy,mean_sensitive_attacker_balanced_accuracy,best_tradeoff_accuracy_joint_mi
acs_income,FairCFS-style,gradient_boosting,4,0.7933333333333333,0.7928333333333333,0.0687670392034043,0.0314619763438661,0.0314619763438661,0.6608572809917104,0.6608572809917105,0.5941012723203469,0.5941012723203469,1.0
acs_income,fair-mRMR,gradient_boosting,4,0.7933333333333333,0.7929999999999999,0.0687670392034043,0.0314619763438661,0.0314619763438661,0.6608572809917104,0.6608572809917105,0.5941012723203469,0.5941012723203469,0.75
acs_income,mRMR,gradient_boosting,1,0.7926666666666666,0.7926666666666666,0.0687670392034043,0.0340866482598766,0.0340866482598766,0.6608572809917104,0.6608572809917104,0.5941012723203469,0.5941012723203469,0.5
acs_income,BasicFA-CMIM,gradient_boosting,4,0.7933333333333333,0.7928333333333333,0.0687670392034043,0.0314619763438661,0.0314619763438661,0.6608572809917105,0.6608572809917105,0.5941012723203469,0.5941012723203469,0.75
acs_income,SubsetFA-CMIM,gradient_boosting,4,0.7933333333333333,0.7929999999999999,0.0687670392034043,0.0314619763438661,0.0314619763438661,0.6608572809917105,0.6608572809917105,0.5941012723203469,0.5941012723203469,0.75
acs_income,CMIM,gradient_boosting,1,0.7926666666666666,0.7926666666666666,0.0687670392034043,0.0340866482598766,0.0340866482598766,0.6608572809917105,0.6608572809917105,0.5941012723203469,0.5941012723203469,0.25
acs_income,FairLasso-style,gradient_boosting,4,0.7926666666666666,0.7926666666666666,0.0687670392034043,0.0340866482598766,0.0340866482598766,0.6608572809917105,0.6608572809917105,0.5941012723203469,0.5941012723203469,0.25
acs_income,ProxyRank,gradient_boosting,4,0.7926666666666666,0.7926666666666666,0.0687670392034043,0.0340866482598766,0.0340866482598766,0.6608572809917105,0.6608572809917105,0.5941012723203469,0.5941012723203469,0.25
acs_income,FairCFS-style,logistic_regression,4,0.7646666666666667,0.7646666666666667,0.0268373623178521,0.0353819408937519,0.0406123815514477,0.6608572809917104,0.6608572809917105,0.5941012723203469,0.5941012723203469,1.0
acs_income,fair-mRMR,logistic_regression,4,0.7646666666666667,0.7646666666666667,0.0268373623178521,0.0353819408937519,0.0406123815514477,0.6608572809917104,0.6608572809917105,0.5941012723203469,0.5941012723203469,1.0
acs_income,mRMR,logistic_regression,1,0.7646666666666667,0.7646666666666667,0.0268373623178521,0.0353819408937519,0.0406123815514477,0.6608572809917104,0.6608572809917104,0.5941012723203469,0.5941012723203469,1.0
acs_income,BasicFA-CMIM,logistic_regression,4,0.7646666666666667,0.7646666666666667,0.0268373623178521,0.0353819408937519,0.0406123815514477,0.6608572809917105,0.6608572809917105,0.5941012723203469,0.5941012723203469,0.75
acs_income,CMIM,logistic_regression,1,0.7646666666666667,0.7646666666666667,0.0268373623178521,0.0353819408937519,0.0406123815514477,0.6608572809917105,0.6608572809917105,0.5941012723203469,0.5941012723203469,0.75
