selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status,dataset_key,dataset,selector_family,k_value,lambda_value,lambda_values,selector_runtime_seconds,n_selected_features,accuracy_norm,joint_leakage_quality,attacker_leakage_quality,dpd_quality,eod_quality,eodd_quality,tradeoff_accuracy_joint_mi,tradeoff_accuracy_attacker,tradeoff_accuracy_dpd,pareto_accuracy_joint_mi
FairCFS_k8_lambda0.5,gradient_boosting,8,,,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,0.5,0.0|0.5|1.0|2.0,5.957437038421631,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
FairLasso_k8_lambda0.5,gradient_boosting,8,,,hours-per-week|education|occupation|age|relationship|birthplace|marital-status|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8808468394865454,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairLasso-style,8.0,0.5,0.0|0.5|1.0|2.0,0.4294829368591308,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
BasicFACMIM_k8_lambda0.5,gradient_boosting,8,,,education|hours-per-week|relationship|age|occupation|birthplace|marital-status|class-worker,,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8808818009185656,0.0699821060320798,0.8368405856532528,,,0.0314619763438661,,,,,,0.0314619763438661,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,BasicFA-CMIM,8.0,0.5,0.0|0.5|1.0|2.0,2.730010986328125,8.0,1.0,0.5,1.0,0.0,1.0,1.0,0.75,1.0,0.5,False
SubsetFACMIM_k8_lambda0.5,gradient_boosting,8,,,education|hours-per-week|relationship|age|class-worker|marital-status|occupation|birthplace,,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8808928413707826,0.0699821060320798,0.8368405856532528,,,0.0314619763438661,,,,,,0.0314619763438661,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,SubsetFA-CMIM,8.0,0.5,0.0|0.5|1.0|2.0,3.57844352722168,8.0,1.0,0.5,1.0,0.0,1.0,1.0,0.75,1.0,0.5,False
ProxyRank_k8_lambda1.0,gradient_boosting,8,,,education|relationship|age|hours-per-week|occupation|marital-status|birthplace|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,ProxyRank,8.0,1.0,0.0|0.5|1.0|2.0,0.2750072479248047,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
FairmRMR_k8_lambda1.0,gradient_boosting,8,,,education|relationship|hours-per-week|class-worker|age|birthplace|occupation|marital-status,,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.880981164988518,0.0699821060320798,0.8368405856532528,,,0.0314619763438661,,,,,,0.0314619763438661,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,1.0,0.0|0.5|1.0|2.0,2.115872859954834,8.0,1.0,0.5,1.0,0.0,1.0,1.0,0.75,1.0,0.5,False
FairCFS_k8_lambda1.0,gradient_boosting,8,,,education|relationship|hours-per-week|occupation|age|marital-status|birthplace|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8809462035564977,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,1.0,0.0|0.5|1.0|2.0,5.868200778961182,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
FairLasso_k8_lambda1.0,gradient_boosting,8,,,hours-per-week|education|occupation|age|relationship|birthplace|marital-status|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8808468394865454,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairLasso-style,8.0,1.0,0.0|0.5|1.0|2.0,0.6946194171905518,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
BasicFACMIM_k8_lambda1.0,gradient_boosting,8,,,education|age|hours-per-week|relationship|birthplace|marital-status|class-worker|occupation,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,BasicFA-CMIM,8.0,1.0,0.0|0.5|1.0|2.0,2.095024824142456,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
SubsetFACMIM_k8_lambda1.0,gradient_boosting,8,,,education|age|hours-per-week|relationship|class-worker|marital-status|birthplace|occupation,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,SubsetFA-CMIM,8.0,1.0,0.0|0.5|1.0|2.0,3.6584901809692383,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
