dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features,utility_norm,fairness_norm,tradeoff_score
German Credit,BasicFACMIM_k8_lambda2.0,gradient_boosting,0.72,0.6222222222222222,0.4473684210526316,0.7490740740740741,0.0592165412476264,0.7670816044260028,0.0218894009216589,0.0218894009216589,0.0118286355033899,0.4865046117097847,0.6176594697236093,8,0.0|0.5|1.0|2.0,6.413734674453735,8,checking_status|duration|other_payment_plans|property_magnitude|savings_status|purpose|credit_amount|foreign_worker,0.27777777777777707,1.0,0.6388888888888885
German Credit,FairmRMR_k8_lambda1.0,logistic_regression,0.7033333333333334,0.7182539682539683,0.6044444444444445,0.765,0.0727899289682818,0.8568464730290457,0.0599078341013824,0.0599078341013824,0.0108119316380292,0.4246876955820409,0.5950137140445881,8,0.0|0.5|1.0|2.0,1.862483024597168,8,checking_status|duration|other_payment_plans|foreign_worker|savings_status|installment_commitment|other_parties|property_magnitude,0.5263157894736848,1.0,0.7631578947368425
German Credit,FairCFS_k8_lambda0.0,random_forest,0.7266666666666667,0.6301587301587301,0.4605263157894737,0.7406349206349206,0.0592165412476264,0.7670816044260028,0.0057603686635944,0.0057603686635944,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,10.431975603103638,8,checking_status|credit_history|savings_status|duration|employment|property_magnitude|other_payment_plans|purpose,0.5555555555555556,1.0,0.7777777777777778
