dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features,utility_norm,fairness_norm,tradeoff_score
German Credit,SubsetFACMIM_k8_lambda0.5,gradient_boosting,0.73,0.6357142857142857,0.4705882352941176,0.7483597883597883,0.0339686335185315,0.8568464730290456,0.01036866359447,0.0373040187421157,0.0154513419099128,0.2681276745417302,0.6699134960264435,8,0.0|0.5|1.0|2.0,6.022196292877197,8,checking_status|duration|other_payment_plans|credit_history|foreign_worker|num_dependents|other_parties|existing_credits,0.44444444444444403,0.8725724926842238,0.6585084685643339
German Credit,FairLasso_k8_lambda0.0,logistic_regression,0.73,0.7182539682539683,0.6048780487804878,0.7946031746031746,0.0713833602925662,0.8380146824130227,0.1186635944700461,0.1186635944700461,0.0215450126440387,0.4957465741172506,0.6539841057739644,8,0.0|0.5|1.0|2.0,0.2910387516021728,8,purpose|checking_status|duration|credit_history|savings_status|employment|property_magnitude|installment_commitment,0.9473684210526321,0.6304347826086951,0.7889016018306636
German Credit,BasicFACMIM_k8_lambda2.0,random_forest,0.7666666666666667,0.6714285714285715,0.527027027027027,0.7509523809523808,0.0547155214853365,0.7694131594546532,0.0069124423963133,0.030455938006848,0.0118286355033899,0.4865046117097847,0.6176594697236093,8,0.0|0.5|1.0|2.0,6.413734674453735,8,checking_status|duration|other_payment_plans|property_magnitude|savings_status|purpose|credit_amount|foreign_worker,1.0,0.8068850973878909,0.9034425486939455
